0.000000  4.141172  0.574701  0.141596  0.093509  0.235105  0.600032
0.072542  3.566471  0.093544  0.235982  0.016015  0.221785  0.985640
0.145084  3.472927  0.298878  0.239419  0.016287  0.203165  0.942159
0.217626  3.174049  0.723418  0.254118  0.016366  0.154860  0.789159
0.290168  2.450631  0.559742  0.322011  0.017213  0.083740  0.715198
0.362710  1.890889  0.753082  0.450240  0.016873  0.059529  0.644607
0.435252  1.137807  0.085577  0.698473  0.011284  0.046672  0.986832
0.507794  1.052230  0.081927  0.707793  0.011591  0.043557  0.987467
0.580336  0.970303  0.660407  0.716776  0.011900  0.040820  0.753261
0.652878  0.309896  0.309896  0.951564  0.002317  0.038196  0.951564
0.725420  0.000000  0.000000  1.000000  0.000000  0.030813  0.000000
