like1,pargamma25,simulation_0,chain
0.10597554,22.415504,1.5940244,0.0
0.14237928,24.547821,1.5576208,0.0
0.1598366,25.654337,1.5401634,0.0
0.08099315,20.947376,1.6190069,0.0
0.33478162,37.653828,1.3652184,0.0
0.26640064,32.536957,1.4335994,0.0
0.19568773,27.929527,1.5043123,0.0
0.3581723,39.449677,1.3418276,0.0
0.25076512,31.476816,1.4492348,0.0
