N_content_mstruct,Cont_WSC_DM_shoot,N_content_total_DM_shoot,N_content_shoot,axis,shoot_roots_mstruct_ratio,Cont_WSC_DM_roots,C_N_ratio_shoot,N_content_mstruct_shoot,N_content_mstruct_roots,C_respired_shoot,sum_respi_shoot,sum_N_g,t,Tillers_Photosynthesis_An,mstruct_shoot,plant,sum_dry_mass_stem,sum_N_g_shoot,sum_dry_mass_roots,mstruct_laminae,N_content,NS_shoot,sum_C_g,sum_dry_mass,NS_stem,N_content_roots,NS_laminae,C_N_ratio,sum_dry_mass_shoot,sum_dry_mass_laminae,Tillers_Photosynthesis,sum_NSC_g,shoot_roots_ratio,C_respired_roots,NS,dry_mass_phloem,NS_roots,Total_Transpiration,senesced_mstruct,Total_Photosynthesis,Cont_WSC_DM,mstruct_stem,Cont_WSC_DM_stem,C_exudated,mstruct,NNI,sum_respi_roots,Cont_WSC_DM_laminae
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,17.9784700000,NA,15.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0169300000,0.0175900000,NA,NA,NA,NA,40.3616200000,3.5115400000,NA,22.3525900000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,15.7553500000,NA,16.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0092000000,0.0213100000,NA,NA,NA,NA,45.3649000000,3.5097800000,NA,21.0564300000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,15.3729200000,NA,17.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0092000000,0.0213100000,NA,NA,NA,NA,33.8001700000,3.5098600000,NA,20.0489600000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,13.2256000000,NA,18.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035500000,0.0245000000,NA,NA,NA,NA,35.8412200000,3.5084200000,NA,19.1062800000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,12.9505500000,NA,19.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035500000,0.0245000000,NA,NA,NA,NA,24.5169900000,3.5085000000,NA,19.3583100000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,11.9583500000,NA,20.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0027600000,0.0274600000,NA,NA,NA,NA,26.1949300000,3.5071900000,NA,18.2263500000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,11.3319000000,NA,21.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0027600000,0.0274600000,NA,NA,NA,NA,15.9348100000,3.5072500000,NA,15.1785700000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,8.7986600000,NA,22.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007600000,0.0293600000,NA,NA,NA,NA,16.3922100000,3.5064200000,NA,13.2771900000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,8.5699300000,NA,23.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007600000,0.0293600000,NA,NA,NA,NA,10.9006900000,3.5064600000,NA,12.3911900000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,8.4868600000,NA,24.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005600000,0.0312000000,NA,NA,NA,NA,13.4933700000,3.5056600000,NA,12.9872600000,NA
