Cont_WSC_DM_roots,plant,N_content_mstruct,Tillers_Photosynthesis_An,mstruct,mstruct_laminae,Cont_WSC_DM_stem,senesced_mstruct,C_N_ratio_shoot,dry_mass_phloem,sum_dry_mass,C_respired_shoot,C_N_ratio,NS_laminae,NS_roots,shoot_roots_mstruct_ratio,C_respired_roots,sum_respi_shoot,N_content_total_DM_shoot,Total_Photosynthesis,Cont_WSC_DM_shoot,sum_C_g,Tillers_Photosynthesis,sum_dry_mass_roots,mstruct_shoot,Cont_WSC_DM_laminae,sum_dry_mass_stem,N_content_roots,sum_respi_roots,Cont_WSC_DM,sum_dry_mass_shoot,NS,N_content_mstruct_shoot,N_content_mstruct_roots,N_content,sum_dry_mass_laminae,shoot_roots_ratio,N_content_shoot,C_exudated,sum_N_g_shoot,NS_stem,sum_NSC_g,Total_Transpiration,mstruct_stem,NNI,NS_shoot,t,axis,sum_N_g
NA,1,NA,NA,2.1406200000,NA,NA,0.0102400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6869600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5386900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1615100000,NA,NA,NA,0.0199600000,NA,NA,NA,15.0000000000,MS,NA
NA,1,NA,NA,2.1405100000,NA,NA,0.0117100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1922100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0969800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7044900000,NA,NA,NA,0.0192100000,NA,NA,NA,16.0000000000,MS,NA
NA,1,NA,NA,2.1406800000,NA,NA,0.0117100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9891500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5744400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4394600000,NA,NA,NA,0.0192100000,NA,NA,NA,17.0000000000,MS,NA
NA,1,NA,NA,2.1406000000,NA,NA,0.0128600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5457600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2060400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4039500000,NA,NA,NA,0.0092900000,NA,NA,NA,18.0000000000,MS,NA
NA,1,NA,NA,2.1407100000,NA,NA,0.0128600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6994600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6857100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3310800000,NA,NA,NA,0.0092900000,NA,NA,NA,19.0000000000,MS,NA
NA,1,NA,NA,2.1406600000,NA,NA,0.0135600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6544700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5049900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7478000000,NA,NA,NA,0.0022900000,NA,NA,NA,20.0000000000,MS,NA
NA,1,NA,NA,2.1407600000,NA,NA,0.0135600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7595200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7399700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8231900000,NA,NA,NA,0.0022900000,NA,NA,NA,21.0000000000,MS,NA
NA,1,NA,NA,2.1407100000,NA,NA,0.0142900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9378000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6379600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3082200000,NA,NA,NA,0.0031700000,NA,NA,NA,22.0000000000,MS,NA
NA,1,NA,NA,2.1407900000,NA,NA,0.0142900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5544100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9358500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4401600000,NA,NA,NA,0.0031700000,NA,NA,NA,23.0000000000,MS,NA
NA,1,NA,NA,2.1407500000,NA,NA,0.0149100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4956600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8499200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9637700000,NA,NA,NA,0.0016000000,NA,NA,NA,24.0000000000,MS,NA
NA,1,NA,NA,2.1408200000,NA,NA,0.0149100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3296900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5462800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8596000000,NA,NA,NA,0.0016000000,NA,NA,NA,25.0000000000,MS,NA
NA,1,NA,NA,2.1407700000,NA,NA,0.0156300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7925600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4141600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3275000000,NA,NA,NA,0.0024800000,NA,NA,NA,26.0000000000,MS,NA
NA,1,NA,NA,2.1408400000,NA,NA,0.0156300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2465200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4106900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8997900000,NA,NA,NA,0.0024800000,NA,NA,NA,27.0000000000,MS,NA
NA,1,NA,NA,2.1408000000,NA,NA,0.0161600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1427200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2598000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4273600000,NA,NA,NA,0.0011600000,NA,NA,NA,28.0000000000,MS,NA
NA,1,NA,NA,2.1409200000,NA,NA,0.0161600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7313400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2823500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4740700000,NA,NA,NA,0.0011600000,NA,NA,NA,29.0000000000,MS,NA
NA,1,NA,NA,2.1408500000,NA,NA,0.0171600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5630000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8640200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6153600000,NA,NA,NA,0.0107000000,NA,NA,NA,30.0000000000,MS,NA
NA,1,NA,NA,2.1409900000,NA,NA,0.0171600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.0170900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5664900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2366500000,NA,NA,NA,0.0107000000,NA,NA,NA,31.0000000000,MS,NA
NA,1,NA,NA,2.1409000000,NA,NA,0.0185600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6827600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9323300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3230800000,NA,NA,NA,0.0203200000,NA,NA,NA,32.0000000000,MS,NA
NA,1,NA,NA,2.1411000000,NA,NA,0.0185600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3496700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8424200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0974900000,NA,NA,NA,0.0203200000,NA,NA,NA,33.0000000000,MS,NA
NA,1,NA,NA,2.1410000000,NA,NA,0.0202300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1383700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3709700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2802500000,NA,NA,NA,0.0283600000,NA,NA,NA,34.0000000000,MS,NA
NA,1,NA,NA,2.1412400000,NA,NA,0.0202300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7877200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2554000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4263300000,NA,NA,NA,0.0283600000,NA,NA,NA,35.0000000000,MS,NA
NA,1,NA,NA,2.1411200000,NA,NA,0.0221900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4884000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1153700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.0857500000,NA,NA,NA,0.0323200000,NA,NA,NA,36.0000000000,MS,NA
NA,1,NA,NA,2.1414000000,NA,NA,0.0221900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9493900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7360900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9150300000,NA,NA,NA,0.0323200000,NA,NA,NA,37.0000000000,MS,NA
NA,1,NA,NA,2.1412900000,NA,NA,0.0242600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3613000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7757100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2786600000,NA,NA,NA,0.0319900000,NA,NA,NA,38.0000000000,MS,NA
NA,1,NA,NA,2.1415600000,NA,NA,0.0242600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3212400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4282900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4430400000,NA,NA,NA,0.0319900000,NA,NA,NA,39.0000000000,MS,NA
NA,1,NA,NA,2.1414800000,NA,NA,0.0261700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0721800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5470400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7237300000,NA,NA,NA,0.0236300000,NA,NA,NA,40.0000000000,MS,NA
