axis,sum_N_g_shoot,Cont_WSC_DM_stem,sum_N_g,N_content_shoot,senesced_mstruct,C_N_ratio,Tillers_Photosynthesis_An,plant,N_content,NNI,NS_roots,mstruct_stem,Cont_WSC_DM_laminae,N_content_mstruct,N_content_total_DM_shoot,sum_dry_mass_roots,C_N_ratio_shoot,mstruct_shoot,sum_C_g,sum_NSC_g,NS_laminae,Tillers_Photosynthesis,NS_stem,C_exudated,sum_dry_mass,Cont_WSC_DM_roots,NS,Cont_WSC_DM,sum_respi_shoot,sum_dry_mass_laminae,shoot_roots_ratio,N_content_roots,dry_mass_phloem,shoot_roots_mstruct_ratio,N_content_mstruct_roots,t,C_respired_shoot,Total_Transpiration,sum_respi_roots,Total_Photosynthesis,NS_shoot,sum_dry_mass_shoot,mstruct,sum_dry_mass_stem,N_content_mstruct_shoot,mstruct_laminae,Cont_WSC_DM_shoot,C_respired_roots
MS,0.00139830,15.347346500629472,0.00197853,4.14820929,0.00000000,16.40227172,0.00000000,1,2.56849053,0.94277484,19.26369493,0.00691771,10.351837636511506,3.59668639,4.14820929,0.04332226,10.13612700,0.02003293,0.03245234,0.00824806,41.15082881,0.00000000,39.43689358,0.00000000,0.07703074,14.625342926061826,28.58730927,13.49601365476504,0.32352441,0.02228616,0.77808686,1.33933212,0.00544925,0.57274929,1.65889697,10.00000000,0.38296910,0.00000337,0.19652032,0.00000000,40.57005162,0.03370848,0.05500972,0.01142232,6.97999813,0.01311522,12.044595654100815,0.78330454
MS,0.00139884,15.35725552860894,0.00198112,4.14883528,0.00000000,16.37331865,0.00000000,1,2.57281830,0.94291711,19.08554411,0.00692271,10.312140952057698,3.59761040,4.14883528,0.04328537,10.13462068,0.02004346,0.03243746,0.00820773,41.10653777,0.00000000,39.47444732,0.00000000,0.07700183,14.426949619845294,28.48535513,13.374605416881247,0.31694452,0.02227879,0.77893433,1.34520457,0.00543418,0.57227600,1.66250215,11.00000000,0.44267481,0.00000331,0.19461732,0.00000000,40.55288204,0.03371646,0.05506759,0.01143767,6.97903519,0.01312075,12.023600385965038,0.77836149
MS,0.00139948,15.339935652037138,0.00198365,4.14962382,0.00000000,16.34444738,0.00000000,1,2.57716927,0.94309632,18.90103239,0.00692770,10.256578321575466,3.59796244,4.14962382,0.04324456,10.13279053,0.02006161,0.03242161,0.00816331,41.05403807,0.00000000,39.46514274,0.00000000,0.07696998,14.223790078863303,28.37142363,13.241314108235654,0.31439112,0.02228127,0.77987653,1.35084889,0.00540463,0.57203014,1.66567951,12.00000000,0.53099644,0.00000696,0.19224626,0.00000000,40.51487317,0.03372542,0.05513250,0.01144415,6.97590144,0.01313391,11.981530105563696,0.76910092
MS,0.00140022,15.31224894070768,0.00198611,4.15093793,0.00000000,16.31625317,0.00000000,1,2.58143537,0.94339498,18.72205504,0.00693264,10.197260284476158,3.59826935,4.15093793,0.04320580,10.12960792,0.02007954,0.03240591,0.00811953,41.00038555,0.00000000,39.45013567,0.00000000,0.07693830,14.028345128552248,28.25897354,13.10984116956478,0.31778847,0.02228303,0.78074020,1.35606162,0.00537108,0.57179331,1.66842508,13.00000000,0.53187836,0.00001413,0.18944423,0.00000000,40.47420013,0.03373250,0.05519633,0.01144948,6.97334255,0.01314690,11.933388420476735,0.75541461
MS,0.00140094,15.276144714986458,0.00198852,4.15248701,0.00000000,16.28860170,0.00000000,1,2.58563660,0.94374705,18.54779906,0.00693755,10.134883043482589,3.59851957,4.15248701,0.04316886,10.12585434,0.02009733,0.03239017,0.00807607,40.94505433,0.00000000,39.42842444,0.01781996,0.07690630,13.838221887985776,28.14721295,12.979308796445213,0.31715972,0.02228396,0.78152269,1.36110747,0.00533409,0.57156429,1.67105057,14.00000000,0.52955681,0.00001414,0.18705256,0.00000000,40.43017551,0.03373744,0.05525932,0.01145348,6.97078939,0.01315978,11.880283640814849,0.74450459
MS,0.00140169,15.232941220387136,0.00199087,4.15432894,0.00000000,16.26124604,0.00000000,1,2.58981112,0.94416567,18.37550981,0.00694247,10.068055734833,3.59869736,4.15432894,0.04313268,10.12138181,0.02011512,0.03237402,0.00803236,40.88625700,0.00000000,39.40365796,0.04531987,0.07687316,13.650987575009044,28.03476213,12.848156707195143,0.32920981,0.02228355,0.78224836,1.36596962,0.00529311,0.57134123,1.67348012,15.00000000,0.54149260,0.00001475,0.18536298,0.00000000,40.38282554,0.03374047,0.05532195,0.01145692,6.96834255,0.01317264,11.821844719369992,0.73852091
MS,0.00140248,15.183292416386887,0.00199318,4.15647809,0.00000000,16.23407122,0.00000000,1,2.59397646,0.94465411,18.20347396,0.00694745,9.996721979560803,3.59878548,4.15647809,0.04309691,10.11613213,0.02013306,0.03235745,0.00798812,40.82446704,0.00000000,39.37509631,0.07026318,0.07683884,13.464953568484367,27.92078118,12.71548664643313,0.33712814,0.02228221,0.78293161,1.37064455,0.00524865,0.57112195,1.67567575,16.00000000,0.55137518,0.00001898,0.18452151,0.00000000,40.33221934,0.03374193,0.05538484,0.01145972,6.96603433,0.01318562,11.758229441047433,0.73879374
MS,0.00140325,15.128080540525342,0.00199546,4.15880641,0.00000000,16.20700617,0.00000000,1,2.59814356,0.94518328,18.03117828,0.00695251,9.920880370536072,3.59877356,4.15880641,0.04306158,10.11045537,0.02015128,0.03234045,0.00794317,40.75931702,0.00000000,39.34207063,0.09291174,0.07680333,13.278913378656235,27.80475030,12.580742139272976,0.34310831,0.02227992,0.78356959,1.37525559,0.00520108,0.57090525,1.67777890,17.00000000,0.56064499,0.00001939,0.18421289,0.00000000,40.27788872,0.03374175,0.05544836,0.01146183,6.96359577,0.01319878,11.689728445116373,0.74289410
MS,0.00140407,15.067641189206062,0.00199771,4.16141273,0.00000000,16.17998329,0.00000000,1,2.60232301,0.94577562,17.85739833,0.00695767,9.840076022848711,3.59865534,4.16141273,0.04302627,10.10407681,0.02016986,0.03232296,0.00789735,40.69079206,0.00000000,39.30565803,0.11414660,0.07676651,13.092179351150588,27.68623950,12.44344918506483,0.35133323,0.02227678,0.78417782,1.37971943,0.00515050,0.57069054,1.67966365,18.00000000,0.57304766,0.00002392,0.18426603,0.00000000,40.22018388,0.03374024,0.05551275,0.01146346,6.96123375,0.01321218,11.616174873087004,0.74941161
MS,0.00140489,15.002912741332922,0.00199994,4.16418752,0.00000000,16.15300845,0.00000000,1,2.60651382,0.94640626,17.68239639,0.00696295,9.754535275525757,3.59843308,4.16418752,0.04299108,10.09729845,0.02018878,0.03230500,0.00785068,40.61857727,0.00000000,39.26611110,0.13361754,0.07672843,12.904503474358789,27.56531088,12.303675464008753,0.35984490,0.02227267,0.78475260,1.38412532,0.00509710,0.57047818,1.68144511,19.00000000,0.58575006,0.00002460,0.18433834,0.00000000,40.15897983,0.03373736,0.05557800,0.01146469,6.95875089,0.01322583,11.538048172279714,0.75570744
