N_content_mstruct_roots,N_content_shoot,sum_respi_shoot,Tillers_Photosynthesis_An,C_N_ratio_shoot,sum_dry_mass_roots,sum_C_g,NS_stem,sum_dry_mass_stem,N_content_roots,Cont_WSC_DM_stem,Cont_WSC_DM_laminae,N_content_mstruct_shoot,mstruct,N_content,sum_respi_roots,sum_dry_mass_laminae,axis,shoot_roots_ratio,NS,Cont_WSC_DM_shoot,C_N_ratio,NS_shoot,t,sum_NSC_g,mstruct_laminae,sum_N_g_shoot,mstruct_shoot,C_respired_roots,plant,senesced_mstruct,sum_dry_mass_shoot,sum_dry_mass,N_content_total_DM_shoot,Total_Transpiration,sum_N_g,NS_laminae,NNI,C_respired_shoot,NS_roots,Cont_WSC_DM_roots,Tillers_Photosynthesis,mstruct_stem,shoot_roots_mstruct_ratio,dry_mass_phloem,Cont_WSC_DM,N_content_mstruct,C_exudated,Total_Photosynthesis
1.477336242255349,4.256517838552532,0.00000000,0.0,9.871570343816655,0.04171136469739311,0.0317649538562319,37.8005331794333,0.011110561301416542,1.2215836094469608,13.765406955897694,9.793839245848211,7.145291577104312,0.05442030,2.575990912910611,0.00100000,0.022506381171555553,MS,0.8059420428186829,27.628359163176885,11.106461491036294,16.36988748318511,40.42905327766175,0.00000000,0.007820022736231908,0.013115221,0.001430911153138,0.020025930890253306,1.115945957021347,1,0.00000000,0.033616942472972096,0.0753283071703652,4.256517838552532,NA,0.001940450347558,41.72665565366177,0.9673904178528481,0.06730567078588703,17.311741599051878,13.578498528440008,0.0,0.006910709890253306,0.5806233124568229,0.0,12.475296691054895,3.559392716711671,0.00000000,0.0
1.5666073902334794,4.272394946259482,0.28392903,0.0,9.83948825376406,0.04241368102003103,0.031743978737694266,35.079654758322754,0.010652965621322091,1.277033923725937,11.124263469079212,9.024468978150129,7.013836275234267,0.05043424,2.585177629198177,0.34269492,0.022231470361647993,MS,0.7753261493016723,27.481517601185736,9.704700761212893,16.30748000289247,39.086189374775785,1.00000000,0.009552912378491894,0.013115221,0.0014049529810423484,0.02003116305983949,1.3723758415985783,1,0.00000000,0.032884435982970084,0.07529811700300111,4.272394946259482,0.00017310,0.0019465900759690533,41.00605678954389,0.9709988514226094,0.3463911649714895,18.48411212105836,14.291978041083627,0.0,0.006915942059839489,0.5793725795084792,0.002162244975850887,12.28860754458064,3.5648534603648114,0.00000000,0.0
1.587346736528923,4.265747520361514,0.25457004,0.0,9.85448945994782,0.042404403015640274,0.03172485039753772,35.41807645322967,0.010716696364022331,1.2970802385358409,11.423370907010067,8.886034266337411,6.9970177975422345,0.05051568,2.5932959759447543,0.31037393,0.02214838406703503,MS,0.7750393377530992,27.345735802180528,9.713412930705477,16.252813843232367,39.034776760752344,2.00000000,0.00949795147751073,0.013115221,0.0014019413535526464,0.020036269652552417,1.2517901536328058,1,0.00000000,0.03286508043105736,0.07526948344669764,4.265747520361514,0.00017100,0.0019519604853376125,40.78474998309114,0.9694880728094349,0.3155330267895507,18.286269238680177,13.980751355187628,0.0,0.0069210486525524174,0.5782436538521495,0.0028078223299389388,12.117493974838215,3.5693651357941696,0.00000000,0.0
1.6000910394605132,4.258445695615314,0.23485375,0.0,9.87063803788603,0.04233885398163996,0.031707374521447784,35.730188631001894,0.010776081218583984,1.312143357405205,11.722999942191366,8.909755019833037,6.991634555911615,0.05058986,2.6005698430127655,0.28419376,0.022127770269802297,MS,0.7771549863549655,27.221295473508544,9.831098704532156,16.204191146170423,39.09227289325807,3.00000000,0.009447837753069593,0.013115221,0.001401192647398841,0.02004098807215396,1.140848701996978,1,0.00000000,0.03290385148838628,0.07524270547002623,4.258445695615314,0.00015573,0.0019567391075204187,40.72958621638302,0.9678285671852985,0.29118268807594927,17.995706178843008,13.616744398528976,0.0,0.006925767072153959,0.5772227480159057,0.00316646133450502,11.961270649614658,3.573256572691752,0.00000000,0.0
1.6080186356717412,4.253194363414955,0.22828451,0.0,9.881686168711374,0.042261632200373954,0.03169148632665114,36.000463999858724,0.010828268596651848,1.3234093076828193,11.974050716597889,8.97456290408129,6.992657962248347,0.05065604,2.607078206257179,0.25954456,0.022128058709118624,MS,0.7798167176675882,27.10936541886876,9.960087152125352,16.160954257459714,39.176284806479714,4.00000000,0.009402829605328056,0.013115221,0.0014016966553576132,0.02004526265870619,1.0230657655482687,1,0.00000000,0.03295632730577047,0.07521795950614443,4.253194363414955,0.00017283,0.0019609910294760414,40.73035880641701,0.9666350825943079,0.27931493456372547,17.699379949662585,13.271721174991944,0.0,0.006930041658706192,0.5763182574997472,0.0033868179189775693,11.820747292011225,3.5766984623454734,0.00000000,0.0
1.6133936362448158,4.249703345026096,0.22134170,0.0,9.888502405192055,0.04218625387505648,0.031676942270071534,36.22938116516501,0.010873248603563632,1.332328479682399,12.176813475639449,9.045934756746838,6.996694217480296,0.05071544,2.6129862587970223,0.24014142,0.022135604698792638,MS,0.7824551902645581,27.008210971768342,10.077258757804945,16.121911937240622,39.26126806558465,5.00000000,0.009362146914256027,0.013115221,0.0014027783429449913,0.020049158921942582,0.9247613517669799,1,0.00000000,0.03300885330235627,0.07519510717741275,4.249703345026096,0.00017738,0.0019648378178334885,40.75056372543844,0.9658416693241126,0.26785566267545796,17.42074285210382,12.958129395194787,0.0,0.006933937921942582,0.5755117894443511,0.003529063549596417,11.693496098931178,3.5798358878234584,0.00000000,0.0
1.618015758818758,4.246966189799484,0.21158695,0.0,9.89373913542128,0.04211845705666393,0.031663714792264215,36.41889867319609,0.010911193328453545,1.3401913510799506,12.340669375808616,9.113137095266447,7.000918296427014,0.05076830,2.618366678908704,0.22302596,0.022144676021892223,MS,0.7848309662881089,26.917726439446454,10.178491883354988,16.086510772817718,39.337012517815495,6.00000000,0.009325664168551542,0.013115221,0.0014038715950534751,0.020052677886127517,0.8314776048283944,1,0.00000000,0.03305586935034577,0.07517432640700969,4.246966189799484,0.00014959,0.0019683395137352084,40.774834605688994,0.9652195885907918,0.253596676844637,17.170686145951642,12.678356327721088,0.0,0.006937456886127517,0.574798810569156,0.0036235677289488226,11.579108799793323,3.582765767049122,0.00000000,0.0
1.6182670617193808,4.222208083321182,0.65855365,8.986660880368156,9.955489116140297,0.04206869022705169,0.03175330724870204,36.64726445321259,0.010955583489572058,1.3436869520983212,12.488608810244111,9.908791879244923,7.011926007867256,0.05081574,2.6156539585493603,0.20961197,0.022351720104086214,MS,0.7917361680122019,27.05031340906645,10.757356509999196,16.10555245044471,39.785330327445834,7.00000000,0.009394381095617927,0.013115221,0.0014063036646677662,0.02005588283575609,0.755231674179819,1,0.00000000,0.03330730359365827,0.07537599382070996,4.222208083321182,0.00034618,0.0019715751661673214,41.323437574711086,0.9595927462093595,0.6968146462309511,16.967539914538186,12.464961917511598,8.948781760566,0.00694066183575609,0.5741625838328722,0.0037238338081218712,11.710401627912324,3.5855588704810737,0.00000000,8.948781760566
1.6115336816327872,4.185749767280578,0.68608260,16.54214584636161,10.04257292556876,0.042081527403298034,0.03193288738831527,36.983883116083675,0.01101929184565887,1.3393898581812742,12.778839449517218,11.179505642263786,7.034742890853557,0.05086345,2.605419501145254,0.20739378,0.022692940499332674,MS,0.8011171272825385,27.389453933122176,11.702269184007488,16.17063517893221,40.498894810742655,8.00000000,0.009552968139661045,0.013115221,0.0014111096869255711,0.020059150829240254,0.7555313562429661,1,0.00000000,0.033712232344991544,0.07579375974828959,4.185749767280578,0.00068501,0.001974745397133119,42.20572252244844,0.9513067652910404,0.7250962221783365,16.887256316962564,12.409166472650108,16.47491479355381,0.006943929829240254,0.5735264214250992,0.003917098056277648,12.09474631830089,3.588210862297519,0.00000000,16.47491479355381
1.6063446526500766,4.157234921988573,0.66389080,17.024894891471234,10.111038235916492,0.042180945801299934,0.03211801359400353,37.45079804065157,0.011107172787127594,1.3337270252888438,13.299979422610603,12.054721788640983,7.054753376117448,0.05091415,2.5948182875226307,0.21057001,0.02293881789765462,MS,0.8071414720087425,27.735573644818245,12.460974960506315,16.238027083854554,41.071860342246445,9.00000000,0.009715788306893288,0.013115221,0.0014153718142847428,0.02006266893859423,0.792425016373862,1,0.00000000,0.034045990684782215,0.07622693648608214,4.157234921988573,0.00072720,0.00197795048795912,42.82520983201595,0.9448261186337666,0.70589032638567,16.97130356872544,12.515391429332368,16.9541380440664,0.006947447938594229,0.5728542953274669,0.004211063708448077,12.491086863569203,3.5907270262812623,0.00000000,16.9541380440664
