t,plant,axis,C_exudated,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,current_nb_leaves,delta_teq,delta_teq_roots,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium
0,1,MS,0.00000000,False,0.00005000,9.40000000,NA,1,3,2694.49771203,2694.49771203,0.05442030,10,0.00000000,vegetative,0.37423579,0.00100000,0.00000000,2694.49771203
1,1,MS,0.00000000,False,0.00005000,8.70000000,0.00017310,1,3,2489.12163461,2489.12163461,0.05043424,10,0.00000000,vegetative,0.71994713,0.34269492,0.28392903,5183.61934664
2,1,MS,0.00000000,False,0.00005000,8.10000000,0.00017100,1,3,2317.45807360,2317.45807360,0.05051568,10,0.00000000,vegetative,1.04181631,0.31037393,0.25457004,7501.07742024
3,1,MS,0.00000000,False,0.00005000,7.50000000,0.00015573,1,3,2145.79451259,2145.79451259,0.05058986,10,0.00000000,vegetative,1.33984332,0.28419376,0.23485375,9646.87193283
4,1,MS,0.00000000,False,0.00005000,6.80000000,0.00017283,1,3,1945.52035808,1945.52035808,0.05065604,10,0.00000000,vegetative,1.61005448,0.25954456,0.22828451,11592.39229092
5,1,MS,0.00000000,False,0.00005000,6.20000000,0.00017738,1,3,1773.85679708,1773.85679708,0.05071544,10,0.00000000,vegetative,1.85642348,0.24014142,0.22134170,13366.24908799
6,1,MS,0.00000000,False,0.00005000,5.60000000,0.00014959,1,3,1602.19323607,1602.19323607,0.05076830,10,0.00000000,vegetative,2.07895032,0.22302596,0.21158695,14968.44232406
7,1,MS,0.00000000,False,0.00005000,5.10000000,0.00034618,1,3,1459.14026856,1459.14026856,0.05081574,10,0.00000000,vegetative,2.28160869,0.20961197,0.65855365,16427.58259262
8,1,MS,0.00000000,False,0.00005000,5.20000000,0.00068501,1,3,1487.75086206,1487.75086206,0.05086345,10,0.00000000,vegetative,2.48824076,0.20739378,0.68608260,17915.33345469
9,1,MS,0.00000000,False,0.00005000,5.60000000,0.00072720,1,3,1602.19323607,1602.19323607,0.05091415,10,0.00000000,vegetative,2.71076760,0.21057001,0.66389080,19517.52669075
10,1,MS,0.00000000,False,0.00005000,6.40000000,0.00107940,1,3,1831.07798408,1831.07798408,0.05097135,10,0.00000000,vegetative,2.96508398,0.22146660,0.85567970,21348.60467483
11,1,MS,0.10128884,False,0.00005000,7.10000000,0.00135404,1,3,2031.35213859,2031.35213859,0.05103407,10,0.00000000,vegetative,3.24721622,0.23164946,1.01394525,23379.95681342
12,1,MS,0.34352692,False,0.00005000,7.40000000,0.00175220,1,3,2117.18391909,2117.18391909,0.05109875,10,0.00000000,vegetative,3.54126955,0.23579272,1.28372977,25497.14073251
13,1,MS,0.61545796,False,0.00005000,7.90000000,0.00129151,1,3,2260.23688660,2260.23688660,0.05116727,10,0.00000000,vegetative,3.85519134,0.24472921,0.99251483,27757.37761911
14,1,MS,0.87767980,False,0.00005000,8.10000000,0.00109225,1,3,2317.45807360,2317.45807360,0.05123724,10,0.00000000,vegetative,4.17706051,0.24910435,0.88294084,30074.83569271
15,1,MS,1.04241788,False,0.00005000,7.80000000,0.00049956,1,3,2231.62629310,2231.62629310,0.05130463,10,0.00000000,vegetative,4.48700861,0.24442167,0.54011097,32306.46198580
16,1,MS,1.13508305,False,0.00005000,7.20000000,0.00025482,1,3,2059.96273209,2059.96273209,0.05136709,10,0.00000000,vegetative,4.77311454,0.23448931,0.40614398,34366.42471789
17,1,MS,1.12872248,False,0.00005000,6.70000000,0.00017718,1,3,1916.90976458,1916.90976458,0.05142558,10,0.00000000,vegetative,5.03935201,0.22707765,0.34909413,36283.33448247
18,1,MS,1.05455225,False,0.00005000,6.20000000,0.00016953,1,3,1773.85679708,1773.85679708,0.05148008,10,0.00000000,vegetative,5.28572101,0.21986586,0.28086154,38057.19127955
19,1,MS,0.96380990,False,0.00005000,5.50000000,0.00015427,1,3,1573.58264257,1573.58264257,0.05152872,10,0.00000000,vegetative,5.50427416,0.20924599,0.26859289,39630.77392211
20,1,MS,0.87516636,False,0.00005000,4.90000000,0.00014149,1,3,1401.91908156,1401.91908156,0.05157230,10,0.00000000,vegetative,5.69898514,0.20056259,0.25955959,41032.69300367
21,1,MS,0.79030825,False,0.00005000,4.30000000,0.00012663,1,3,1230.25552055,1230.25552055,0.05161073,10,0.00000000,vegetative,5.86985396,0.19206173,0.24882266,42262.94852423
22,1,MS,0.71376850,False,0.00005000,3.80000000,0.00012390,1,3,1087.20255305,1087.20255305,0.05164484,10,0.00000000,vegetative,6.02085432,0.18525721,0.23975879,43350.15107727
23,1,MS,0.64658345,False,0.00005000,3.20000000,0.00012374,1,3,915.53899204,915.53899204,0.05167368,10,0.00000000,vegetative,6.14801251,0.17716312,0.23344561,44265.69006931
24,1,MS,0.58618444,False,0.00005000,2.60000000,0.00012069,1,3,743.87543103,743.87543103,0.05169720,10,0.00000000,vegetative,6.25132854,0.16936389,0.22892844,45009.56550034
25,1,MS,0.52860706,False,0.00005000,2.20000000,0.00011546,1,3,629.43305703,629.43305703,0.05171717,10,0.00000000,vegetative,6.33874980,0.16450276,0.22144492,45638.99855737
26,1,MS,0.47864544,False,0.00005000,1.70000000,0.00011001,1,3,486.38008952,486.38008952,0.05173266,10,0.00000000,vegetative,6.40630259,0.15841732,0.21812045,46125.37864689
27,1,MS,0.43086882,False,0.00005000,1.30000000,0.00010895,1,3,371.93771552,371.93771552,0.05174454,10,0.00000000,vegetative,6.45796061,0.15379844,0.21477107,46497.31636241
28,1,MS,0.38901721,False,0.00005000,1.00000000,0.00010279,1,3,286.10593501,286.10593501,0.05175370,10,0.00000000,vegetative,6.49769754,0.15046916,0.21084516,46783.42229742
29,1,MS,0.35236515,False,0.00005000,0.80000000,0.00010117,1,3,228.88474801,228.88474801,0.05176106,10,0.00000000,vegetative,6.52948709,0.14838668,0.21126210,47012.30704543
30,1,MS,0.31691376,False,0.00005000,0.70000000,0.00010152,1,3,200.27415451,200.27415451,0.05176751,10,0.00000000,vegetative,6.55730294,0.14747032,0.20696776,47212.58119994
31,1,MS,0.28691399,False,0.00005000,0.50000000,0.00014194,1,3,143.05296751,143.05296751,0.05177213,10,0.00000000,vegetative,6.57717141,0.14533818,0.62735971,47355.63416744
32,1,MS,0.26827345,False,0.00005000,0.60000000,0.00021706,1,3,171.66356101,171.66356101,0.05177768,10,0.00000000,vegetative,6.60101357,0.14676943,0.37790437,47527.29772845
33,1,MS,0.28367859,False,0.00005000,0.80000000,0.00037524,1,3,228.88474801,228.88474801,0.05178510,10,0.00000000,vegetative,6.63280312,0.14945195,0.49827969,47756.18247646
34,1,MS,0.35242227,False,0.00005000,2.00000000,0.00086879,1,3,572.21187002,572.21187002,0.05180367,10,0.00000000,vegetative,6.71227699,0.16528026,0.81313278,48328.39434649
35,1,MS,0.46893556,False,0.00005000,2.70000000,0.00124719,1,3,772.48602453,772.48602453,0.05182877,10,0.00000000,vegetative,6.81956672,0.17544985,1.02121620,49100.88037102
36,1,MS,0.66190370,False,0.00005000,2.90000000,0.00126661,1,3,829.70721154,829.70721154,0.05185577,10,0.00000000,vegetative,6.93480383,0.17916059,0.98966557,49930.58758255
37,1,MS,0.91067992,False,0.00005000,4.10000000,0.00156791,1,3,1173.03433355,1173.03433355,0.05189408,10,0.00000000,vegetative,7.09772527,0.19923516,1.19544899,51103.62191610
38,1,MS,1.17274988,False,0.00005000,5.40000000,0.00103345,1,3,1544.97204907,1544.97204907,0.05194477,10,0.00000000,vegetative,7.31230472,0.22342162,0.87381488,52648.59396517
39,1,MS,1.34371794,False,0.00005000,6.20000000,0.00069980,1,3,1773.85679708,1773.85679708,0.05200333,10,0.00000000,vegetative,7.55867372,0.24081003,0.68104991,54422.45076225
40,1,MS,1.41064865,False,0.00005000,6.50000000,0.00035541,1,3,1859.68857758,1859.68857758,0.05206515,10,0.00000000,vegetative,7.81696380,0.24923961,0.48106832,56282.13933983
41,1,MS,1.34673123,False,0.00005000,6.10000000,0.00016827,1,3,1745.24620357,1745.24620357,0.05212729,10,0.00000000,vegetative,8.05935910,0.24354064,0.35349604,58027.38554340
42,1,MS,1.21930477,False,0.00005000,5.30000000,0.00015143,1,3,1516.36145556,1516.36145556,0.05218161,10,0.00000000,vegetative,8.26996486,0.23023072,0.28205497,59543.74699896
43,1,MS,1.08744960,False,0.00005000,4.70000000,0.00012998,1,3,1344.69789456,1344.69789456,0.05223004,10,0.00000000,vegetative,8.45672846,0.22085257,0.26864108,60888.44489352
44,1,MS,0.96142943,False,0.00005000,4.00000000,0.00010590,1,3,1144.42374005,1144.42374005,0.05227144,10,0.00000000,vegetative,8.61567620,0.20989277,0.25532766,62032.86863357
45,1,MS,0.84954731,False,0.00005000,3.40000000,0.00009957,1,3,972.76017904,972.76017904,0.05230677,10,0.00000000,vegetative,8.75078178,0.20086450,0.24627235,63005.62881261
46,1,MS,0.75262015,False,0.00005000,2.80000000,0.00008475,1,3,801.09661803,801.09661803,0.05233596,10,0.00000000,vegetative,8.86204520,0.19206513,0.23990790,63806.72543065
47,1,MS,0.66404662,False,0.00005000,2.20000000,0.00007459,1,3,629.43305703,629.43305703,0.05235896,10,0.00000000,vegetative,8.94946646,0.18352802,0.23397573,64436.15848767
48,1,MS,0.58888346,False,0.00005000,1.70000000,0.00003274,1,3,486.38008952,486.38008952,0.05237679,10,0.00000000,vegetative,9.01701925,0.17668554,0.22210406,64922.53857719
49,1,MS,0.52374611,False,0.00005000,1.30000000,0.00005631,1,3,371.93771552,371.93771552,0.05239045,10,0.00000000,vegetative,9.06867726,0.17145549,0.22732992,65294.47629271
50,1,MS,0.46297015,False,0.00005000,0.90000000,0.00005822,1,3,257.49534151,257.49534151,0.05239994,10,0.00000000,vegetative,9.10444050,0.16630152,0.22584724,65551.97163422
51,1,MS,0.40924577,False,0.00005000,0.60000000,0.00005928,1,3,171.66356101,171.66356101,0.05240627,10,0.00000000,vegetative,9.12828267,0.16256959,0.22523866,65723.63519523
52,1,MS,0.36186980,False,0.00005000,0.40000000,0.00005715,1,3,114.44237400,114.44237400,0.05241050,10,0.00000000,vegetative,9.14417744,0.16017395,0.22744355,65838.07756923
53,1,MS,0.32121116,False,0.00005000,0.40000000,0.00003476,1,3,114.44237400,114.44237400,0.05241474,10,0.00000000,vegetative,9.16007221,0.16034471,0.22630972,65952.51994324
54,1,MS,0.28422168,False,0.00005000,0.40000000,0.00007235,1,3,114.44237400,114.44237400,0.05241898,10,0.00000000,vegetative,9.17596699,0.16046237,0.23365818,66066.96231724
55,1,MS,0.25280768,False,0.00005000,0.30000000,0.00017030,1,3,85.83178050,85.83178050,0.05242217,10,0.00000000,vegetative,9.18788807,0.15923525,0.62290817,66152.79409775
56,1,MS,0.26407337,False,0.00005000,0.40000000,0.00056315,1,3,114.44237400,114.44237400,0.05242642,10,0.00000000,vegetative,9.20378284,0.16079802,0.70256960,66267.23647175
57,1,MS,0.35641989,False,0.00005000,0.70000000,0.00122439,1,3,200.27415451,200.27415451,0.05243387,10,0.00000000,vegetative,9.23159870,0.16529178,1.09849870,66467.51062626
58,1,MS,0.59033296,False,0.00005000,3.90000000,0.00142667,1,3,1115.81314655,1115.81314655,0.05248134,10,0.00000000,vegetative,9.38657275,0.21522308,1.14231235,67583.32377281
59,1,MS,0.88045233,False,0.00005000,6.20000000,0.00085668,1,3,1773.85679708,1773.85679708,0.05254842,10,0.00000000,vegetative,9.63294175,0.25938215,0.85781660,69357.18056988
60,1,MS,1.10690322,False,0.00005000,7.20000000,0.00046555,1,3,2059.96273209,2059.96273209,0.05262646,10,0.00000000,vegetative,9.91904768,0.28139011,0.60015360,71417.14330197
61,1,MS,1.24068359,False,0.00005000,8.20000000,0.00068327,1,3,2346.06866710,2346.06866710,0.05271558,10,0.00000000,vegetative,10.24489055,0.30603960,0.76705935,73763.21196907
62,1,MS,1.33693460,False,0.00005000,8.50000000,0.00049635,1,3,2431.90044760,2431.90044760,0.05280823,10,0.00000000,vegetative,10.58265450,0.31421075,0.62732819,76195.11241668
63,1,MS,1.38816989,False,0.00005000,8.50000000,0.00047750,1,3,2431.90044760,2431.90044760,0.05290117,10,0.00000000,vegetative,10.92041845,0.31517497,0.62762983,78627.01286428
64,1,MS,1.39079106,False,0.00005000,8.20000000,0.00025491,1,3,2346.06866710,2346.06866710,0.05299115,10,0.00000000,vegetative,11.24626132,0.30862409,0.47350985,80973.08153138
65,1,MS,1.32189966,False,0.00005000,7.60000000,0.00013430,1,3,2174.40510609,2174.40510609,0.05307484,10,0.00000000,vegetative,11.54826203,0.29500333,0.37886305,83147.48663747
66,1,MS,1.19370230,False,0.00005000,6.90000000,0.00010082,1,3,1974.13095158,1974.13095158,0.05315108,10,0.00000000,vegetative,11.82244689,0.27971296,0.31278908,85121.61758906
67,1,MS,1.07911922,False,0.00005000,6.30000000,0.00010634,1,3,1802.46739058,1802.46739058,0.05322089,10,0.00000000,vegetative,12.07278958,0.26709112,0.30669156,86924.08497963
68,1,MS,0.97867414,False,0.00005000,5.80000000,0.00010824,1,3,1659.41442307,1659.41442307,0.05328534,10,0.00000000,vegetative,12.30326381,0.25693134,0.30836035,88583.49940271
69,1,MS,0.88415937,False,0.00005000,5.40000000,0.00009747,1,3,1544.97204907,1544.97204907,0.05334547,10,0.00000000,vegetative,12.51784326,0.24896901,0.30587088,90128.47145177
70,1,MS,0.79680663,False,0.00005000,5.00000000,0.00008282,1,3,1430.52967506,1430.52967506,0.05340126,10,0.00000000,vegetative,12.71652793,0.24110625,0.29982199,91559.00112683
71,1,MS,0.71676404,False,0.00005000,4.60000000,0.00008249,1,3,1316.08730106,1316.08730106,0.05345268,10,0.00000000,vegetative,12.89931784,0.23339330,0.29463351,92875.08842789
72,1,MS,0.64777747,False,0.00005000,4.10000000,0.00007666,1,3,1173.03433355,1173.03433355,0.05349856,10,0.00000000,vegetative,13.06223927,0.22402648,0.29213984,94048.12276144
73,1,MS,0.58884052,False,0.00005000,3.80000000,0.00006055,1,3,1087.20255305,1087.20255305,0.05354114,10,0.00000000,vegetative,13.21323963,0.21845536,0.28436216,95135.32531449
74,1,MS,0.53657220,False,0.00005000,3.60000000,0.00005258,1,3,1029.98136604,1029.98136604,0.05358153,10,0.00000000,vegetative,13.35629259,0.21470472,0.28237384,96165.30668053
75,1,MS,0.49352241,False,0.00005000,3.50000000,0.00006878,1,3,1001.37077254,1001.37077254,0.05362082,10,0.00000000,vegetative,13.49537187,0.21268161,0.28680947,97166.67745307
76,1,MS,0.45366971,False,0.00005000,3.40000000,0.00007199,1,3,972.76017904,972.76017904,0.05365902,10,0.00000000,vegetative,13.63047745,0.21059603,0.28584050,98139.43763211
77,1,MS,0.42435213,False,0.00005000,3.30000000,0.00008985,1,3,944.14958554,944.14958554,0.05369612,10,0.00000000,vegetative,13.76160934,0.20849019,0.29182651,99083.58721765
78,1,MS,0.39713497,False,0.00005000,3.30000000,0.00008865,1,3,944.14958554,944.14958554,0.05373324,10,0.00000000,vegetative,13.89274122,0.20802409,0.29357218,100027.73680320
79,1,MS,0.37613762,False,0.00005000,3.30000000,0.00017626,1,3,944.14958554,944.14958554,0.05377036,10,0.00000000,vegetative,14.02387311,0.20758069,0.71004414,100971.88638874
80,1,MS,0.38489024,False,0.00005000,3.60000000,0.00042745,1,3,1029.98136604,1029.98136604,0.05381087,10,0.00000000,vegetative,14.16692608,0.21233249,0.66890166,102001.86775478
81,1,MS,0.47903256,False,0.00005000,4.20000000,0.00097711,1,3,1201.64492705,1201.64492705,0.05385813,10,0.00000000,vegetative,14.33382121,0.22286223,1.02205442,103203.51268183
82,1,MS,0.66043383,False,0.00005000,5.50000000,0.00080873,1,3,1573.58264257,1573.58264257,0.05392005,10,0.00000000,vegetative,14.55237435,0.24704429,0.85851536,104777.09532440
83,1,MS,0.87277055,False,0.00005000,6.50000000,0.00078257,1,3,1859.68857758,1859.68857758,0.05399328,10,0.00000000,vegetative,14.81066443,0.26767918,0.85322883,106636.78390198
84,1,MS,1.03947962,False,0.00005000,7.10000000,0.00047214,1,3,2031.35213859,2031.35213859,0.05407339,10,0.00000000,vegetative,15.09279667,0.28085030,0.63130080,108668.13604056
85,1,MS,1.16112600,False,0.00005000,7.10000000,0.00054871,1,3,2031.35213859,2031.35213859,0.05415366,10,0.00000000,vegetative,15.37492891,0.28181485,0.69168319,110699.48817915
86,1,MS,1.28533425,False,0.00005000,7.70000000,0.00056671,1,3,2203.01569959,2203.01569959,0.05424095,10,0.00000000,vegetative,15.68090332,0.29636328,0.73583447,112902.50387875
87,1,MS,1.36152111,False,0.00005000,8.50000000,0.00047625,1,3,2431.90044760,2431.90044760,0.05433761,10,0.00000000,vegetative,16.01866727,0.31682894,0.67614155,115334.40432635
88,1,MS,1.37029514,False,0.00005000,8.60000000,0.00032324,1,3,2460.51104111,2460.51104111,0.05443571,10,0.00000000,vegetative,16.36040491,0.31999797,0.56787521,117794.91536745
89,1,MS,1.27616142,False,0.00005000,8.10000000,0.00013259,1,3,2317.45807360,2317.45807360,0.05452839,10,0.00000000,vegetative,16.68227409,0.30792372,0.41922806,120112.37344105
90,1,MS,1.16478210,False,0.00005000,7.40000000,0.00012485,1,3,2117.18391909,2117.18391909,0.05461329,10,0.00000000,vegetative,16.97632741,0.29161860,0.35507737,122229.55736014
91,1,MS,1.05679026,False,0.00005000,7.00000000,0.00011708,1,3,2002.74154509,2002.74154509,0.05469379,10,0.00000000,vegetative,17.25448596,0.28262897,0.34757080,124232.29890523
92,1,MS,0.96434355,False,0.00005000,6.60000000,0.00011929,1,3,1888.29917108,1888.29917108,0.05476985,10,0.00000000,vegetative,17.51674973,0.27375366,0.34666560,126120.59807631
93,1,MS,0.88595682,False,0.00005000,6.30000000,0.00011864,1,3,1802.46739058,1802.46739058,0.05484257,10,0.00000000,vegetative,17.76709243,0.26713617,0.34794656,127923.06546689
94,1,MS,0.81176513,False,0.00005000,6.00000000,0.00012533,1,3,1716.63561007,1716.63561007,0.05491194,10,0.00000000,vegetative,18.00551404,0.26055481,0.34983056,129639.70107696
95,1,MS,0.74155219,False,0.00005000,5.80000000,0.00013073,1,3,1659.41442307,1659.41442307,0.05497906,10,0.00000000,vegetative,18.23598826,0.25606592,0.34747111,131299.11550003
96,1,MS,0.68277559,False,0.00005000,5.60000000,0.00012173,1,3,1602.19323607,1602.19323607,0.05504393,10,0.00000000,vegetative,18.45851510,0.25150210,0.34164272,132901.30873610
97,1,MS,0.63141179,False,0.00005000,5.40000000,0.00012450,1,3,1544.97204907,1544.97204907,0.05510653,10,0.00000000,vegetative,18.67309455,0.24695566,0.34065838,134446.28078517
98,1,MS,0.58084938,False,0.00005000,5.20000000,0.00011234,1,3,1487.75086206,1487.75086206,0.05516625,10,0.00000000,vegetative,18.87972662,0.24239215,0.32918130,135934.03164723
99,1,MS,0.54541243,False,0.00005000,4.80000000,0.00011519,1,3,1373.30848806,1373.30848806,0.05522194,10,0.00000000,vegetative,19.07046391,0.23409924,0.33325756,137307.34013529
100,1,MS,0.51324532,False,0.00005000,4.70000000,0.00009886,1,3,1344.69789456,1344.69789456,0.05527648,10,0.00000000,vegetative,19.25722750,0.23159956,0.33239609,138652.03802985
101,1,MS,0.48161968,False,0.00005000,4.70000000,0.00009291,1,3,1344.69789456,1344.69789456,0.05533103,10,0.00000000,vegetative,19.44399110,0.23091204,0.32693753,139996.73592440
102,1,MS,0.45106710,False,0.00005000,4.40000000,0.00010155,1,3,1258.86611405,1258.86611405,0.05538210,10,0.00000000,vegetative,19.61883362,0.22471089,0.32366327,141255.60203846
103,1,MS,0.43402217,False,0.00005000,4.30000000,0.00014841,1,3,1230.25552055,1230.25552055,0.05543199,10,0.00000000,vegetative,19.78970244,0.22227719,0.88487548,142485.85755901
104,1,MS,0.43874121,False,0.00005000,4.70000000,0.00034285,1,3,1344.69789456,1344.69789456,0.05548652,10,0.00000000,vegetative,19.97646604,0.22899582,0.71061175,143830.55545357
105,1,MS,0.52358310,False,0.00005000,5.60000000,0.00100348,1,3,1602.19323607,1602.19323607,0.05555147,10,0.00000000,vegetative,20.19899287,0.24605940,1.22056472,145432.74868964
106,1,MS,0.76536697,False,0.00005000,8.70000000,0.00146441,1,3,2489.12163461,2489.12163461,0.05565235,10,0.00000000,vegetative,20.54470421,0.31464052,1.49654050,147921.87032424
107,1,MS,1.11610434,False,0.00005000,11.30000000,0.00159042,1,3,3333.07177341,3333.07177341,0.05578735,10,0.00000000,vegetative,21.00763085,0.38546897,1.55617166,151254.94209765
108,1,MS,1.19367438,False,0.00005000,12.20000000,0.00099812,1,3,3679.59049354,3679.59049354,0.06010713,10,0.00000000,vegetative,21.51868508,0.41226142,1.32420276,154934.53259118
109,1,MS,1.47057111,False,0.00005000,12.80000000,0.00154878,1,3,3927.48007030,3927.48007030,0.06026599,10,0.00000000,vegetative,22.06416843,0.43239458,1.65749078,158862.01266148
110,1,MS,1.73568419,False,0.00005000,12.40000000,0.00102511,1,3,3760.69005646,3760.69005646,0.06041814,10,0.00000000,vegetative,22.58648649,0.42000766,1.29693448,162622.70271795
111,1,MS,1.90972414,False,0.00005000,12.80000000,0.00062999,1,3,3927.48007030,3927.48007030,0.06057746,10,0.00000000,vegetative,23.13196983,0.43503906,1.05468410,166550.18278825
112,1,MS,1.94887178,False,0.00005000,12.60000000,0.00043729,1,3,3843.31477390,3843.31477390,0.06073391,10,0.00000000,vegetative,23.66576355,0.42999621,0.90993580,170393.49756215
113,1,MS,1.88444724,False,0.00005000,11.80000000,0.00014021,1,3,3521.90189730,3521.90189730,0.06087781,10,0.00000000,vegetative,24.15491659,0.40546669,0.67524938,173915.39945945
114,1,MS,1.73515764,False,0.00005000,10.90000000,0.00015076,1,3,3188.45696226,3188.45696226,0.06100863,10,0.00000000,vegetative,24.59775784,0.37942130,0.60017400,177103.85642171
115,1,MS,1.53637650,False,0.00005000,10.00000000,0.00013052,1,3,2883.20598615,2883.20598615,0.06112737,10,0.00000000,vegetative,24.99820311,0.35460816,0.55403193,179987.06240786
116,1,MS,1.34940811,False,0.00005000,9.10000000,0.00009924,1,3,2604.38106919,2604.38106919,0.06123495,10,0.00000000,vegetative,25.35992271,0.33094079,0.50343298,182591.44347705
117,1,MS,1.21842917,False,0.00005000,8.10000000,0.00008565,1,3,2317.45807360,2317.45807360,0.06133091,10,0.00000000,vegetative,25.68179188,0.30612787,0.48088737,184908.90155065
118,1,MS,1.10115275,False,0.00005000,7.10000000,0.00004189,1,3,2031.35213859,2031.35213859,0.06141520,10,0.00000000,vegetative,25.96392412,0.28303566,0.45262834,186940.25368924
119,1,MS,0.99788018,False,0.00005000,6.20000000,0.00006871,1,3,1773.85679708,1773.85679708,0.06148896,10,0.00000000,vegetative,26.21029312,0.26374343,0.44380136,188714.11048631
120,1,MS,0.90579773,False,0.00005000,5.50000000,0.00007059,1,3,1573.58264257,1573.58264257,0.06155452,10,0.00000000,vegetative,26.42884627,0.24964397,0.43297025,190287.69312888
121,1,MS,0.82730118,False,0.00005000,5.10000000,0.00007658,1,3,1459.14026856,1459.14026856,0.06161542,10,0.00000000,vegetative,26.63150464,0.24194713,0.43024453,191746.83339744
122,1,MS,0.76597991,False,0.00005000,4.80000000,0.00005485,1,3,1373.30848806,1373.30848806,0.06167283,10,0.00000000,vegetative,26.82224193,0.23625374,0.42794181,193120.14188550
123,1,MS,0.69279850,False,0.00005000,4.60000000,0.00005428,1,3,1316.08730106,1316.08730106,0.06172793,10,0.00000000,vegetative,27.00503183,0.23246366,0.41713182,194436.22918656
124,1,MS,0.64198869,False,0.00005000,4.20000000,0.00005925,1,3,1201.64492705,1201.64492705,0.06177828,10,0.00000000,vegetative,27.17192696,0.22499393,0.41722576,195637.87411361
125,1,MS,0.58935054,False,0.00005000,3.80000000,0.00006995,1,3,1087.20255305,1087.20255305,0.06182388,10,0.00000000,vegetative,27.32292731,0.21774300,0.41193813,196725.07666666
126,1,MS,0.52974680,False,0.00005000,3.50000000,0.00003928,1,3,1001.37077254,1001.37077254,0.06186591,10,0.00000000,vegetative,27.46200659,0.21235563,0.38328298,197726.44743920
127,1,MS,0.49417329,False,0.00005000,3.00000000,0.00013362,1,3,858.31780504,858.31780504,0.06190196,10,0.00000000,vegetative,27.58121740,0.20387633,0.84755240,198584.76524424
128,1,MS,0.49737291,False,0.00005000,3.30000000,0.00038052,1,3,944.14958554,944.14958554,0.06194164,10,0.00000000,vegetative,27.71234928,0.20892848,0.84737179,199528.91482978
129,1,MS,0.59245044,False,0.00005000,3.90000000,0.00121503,1,3,1115.81314655,1115.81314655,0.06198857,10,0.00000000,vegetative,27.86732333,0.21981578,1.40425717,200644.72797632
130,1,MS,0.87425895,False,0.00005000,8.10000000,0.00227911,1,3,2317.45807360,2317.45807360,0.06208616,10,0.00000000,vegetative,28.18919251,0.30832745,2.61325140,202962.18604992
131,1,MS,1.25034363,False,0.00005000,11.60000000,0.00232095,1,3,3445.27897670,3445.27897670,0.06223122,10,0.00000000,vegetative,28.66770348,0.40592474,2.62787680,206407.46502662
132,1,MS,1.64102971,False,0.00005000,12.50000000,0.00180630,1,3,3801.81079054,3801.81079054,0.06239275,10,0.00000000,vegetative,29.19573275,0.43639314,2.08145263,210209.27581716
133,1,MS,1.85671497,False,0.00005000,12.30000000,0.00048966,1,3,3719.95062133,3719.95062133,0.06254942,10,0.00000000,vegetative,29.71239256,0.43056159,0.96617239,213929.22643849
134,1,MS,1.94025083,False,0.00005000,11.50000000,0.00058330,1,3,3407.51520168,3407.51520168,0.06269336,10,0.00000000,vegetative,30.18565856,0.40713931,1.03538540,217336.74164017
135,1,MS,1.97136912,False,0.00005000,11.20000000,0.00059031,1,3,3296.38754883,3296.38754883,0.06283324,10,0.00000000,vegetative,30.64349017,0.40045551,1.03428186,220633.12918900
136,1,MS,1.89617945,False,0.00005000,10.50000000,0.00027219,1,3,3049.41267137,3049.41267137,0.06296329,10,0.00000000,vegetative,31.06701970,0.38149952,0.77815296,223682.54186037
137,1,MS,1.81902414,False,0.00005000,9.70000000,0.00007965,1,3,2787.41701118,2787.41701118,0.06308276,10,0.00000000,vegetative,31.45416095,0.36049496,0.58444372,226469.95887154
138,1,MS,1.65943014,False,0.00005000,9.10000000,0.00010013,1,3,2604.38106919,2604.38106919,0.06319495,10,0.00000000,vegetative,31.81588055,0.34575000,0.55934750,229074.33994073
139,1,MS,1.49201486,False,0.00005000,8.50000000,0.00010402,1,3,2431.90044760,2431.90044760,0.06330015,10,0.00000000,vegetative,32.15364450,0.33111258,0.54002248,231506.24038834
140,1,MS,1.32180907,False,0.00005000,7.90000000,0.00007500,1,3,2260.23688660,2260.23688660,0.06339826,10,0.00000000,vegetative,32.46756629,0.31659889,0.50502755,233766.47727494
141,1,MS,1.18430699,False,0.00005000,7.00000000,0.00004400,1,3,2002.74154509,2002.74154509,0.06348542,10,0.00000000,vegetative,32.74572484,0.29527456,0.47989805,235769.21882002
142,1,MS,1.04563214,False,0.00005000,6.10000000,0.00005242,1,3,1745.24620357,1745.24620357,0.06356155,10,0.00000000,vegetative,32.98812014,0.27529415,0.45567341,237514.46502360
143,1,MS,0.94965507,False,0.00005000,5.20000000,0.00005044,1,3,1487.75086206,1487.75086206,0.06362657,10,0.00000000,vegetative,33.19475221,0.25645046,0.44166857,239002.21588566
144,1,MS,0.88020936,False,0.00005000,4.80000000,0.00004382,1,3,1373.30848806,1373.30848806,0.06368672,10,0.00000000,vegetative,33.38548950,0.24865735,0.44526903,240375.52437372
145,1,MS,0.78125418,False,0.00005000,4.60000000,0.00005940,1,3,1316.08730106,1316.08730106,0.06374446,10,0.00000000,vegetative,33.56827940,0.24490255,0.44254812,241691.61167477
