t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,PARa_prim,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Tr,Transpiration,Ts,Wmax,age,amino_acids,area_prim,cytokinins,cytokinins_import,fructan,green_area,gs,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,proteins,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,triosesP,width
1,1,MS,1,blade,LeafElement1,18.64514449,0.19623303,18.47320787,0.00000000,3.60397492,143.69819511,2.90942160,0.67508915,11.13443991,0.06848600,0.33708350,0.00000000,0.00002050,948.46248731,NA,13.11123393,0.33371944,0.00027436,0.24882723,0.17193662,0.00000000,82.08166225,0.00000004,5.36002426,254.85743752,2665.22197173,19.78258656,4.51578652,0.00088208,21.89795835,0.00300000,240.80089055,1.37603112,NA,0.38298861,0.04506838,0.00000000,0.00019533,0.55754263,0.04580020,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00020299,16.94226972,0.00000000,0.00000000,0.70935197,19.09106405,0.58282103,0.00127765,0.00232481
1,1,MS,1,sheath,StemElement,1.01270254,0.17919496,1.28855269,0.00000000,3.64010614,9.08921860,1.46937767,0.32607117,1.63332498,0.02322060,0.30781599,0.00000000,0.00000855,454.20609157,NA,1.46560214,0.30495060,0.00001676,0.02951597,0.00978390,0.00000000,180.13503444,0.00000061,5.21570892,16.47330393,242.55847438,3.17178571,2.00369081,0.00080549,21.58782712,NA,240.80089055,0.53811507,NA,0.08053943,0.04115529,0.00000000,0.00040201,0.21501999,0.01425000,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00162120,2.02295635,0.00000000,0.00000000,0.01868241,4.89557997,0.33448333,0.00003389,0.00448990
1,1,MS,2,blade,LeafElement1,21.06502764,0.26234707,20.86651140,0.00000000,2.98310713,184.26245778,3.43900405,0.95700586,14.78732147,0.08023525,0.45065233,0.00000000,0.00002420,1025.71305372,NA,18.28127604,0.44615403,0.00042921,0.35765359,0.19851624,0.00000000,93.15706690,0.00000003,5.60094392,326.81928122,3142.86098330,27.18000688,4.89182446,0.00117927,22.22198950,0.00330000,160.80089055,1.80235347,NA,0.53326801,0.06025264,0.00000000,0.00024107,0.58746539,0.06174058,False,False,0.09200000,0.00483764,4885.93175850,0.00483764,1.00000000,0.00024778,23.64908198,0.00000000,0.00000000,1.07147236,24.13770043,0.80423683,0.00193851,0.00255729
1,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,4.76480105,6.29319683,0.00000000,1.05837622,0.04431021,2.18465325,0.03084455,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00002989,0.02368722,0.00000000,0.00000000,0.00000000,0.00000061,3.29333522,0.00000000,0.00000000,4.94382340,0.00000000,0.00000000,10.00000000,NA,160.80089055,0.30946581,NA,0.07734887,0.00000000,6.69735569,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.82007188,0.00000000,0.00000000,0.00000000,6.73855111,0.02371711,0.00000000,0.00448990
1,1,MS,2,sheath,StemElement,1.52243093,0.00206717,1.93758329,0.00000000,4.97152874,25.06192368,1.42510646,0.00518849,0.01934187,0.03084455,0.00355093,0.00000000,0.00000020,289.32582692,NA,0.03865422,0.00351571,0.00000000,0.00057535,0.01425123,0.00000001,88.78059032,0.00000345,3.69973815,44.63270040,626.97049428,0.08787617,1.31751916,0.00000929,17.57748767,NA,160.80089055,0.00653717,NA,0.00182720,0.00047476,0.00000000,0.00000705,0.22508264,0.02875000,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000636,0.06705328,0.00000000,0.00000000,0.00120499,0.07329895,0.00409107,0.00000215,0.00448990
1,1,MS,3,blade,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00400000,0.40044528,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,False,True,0.00099000,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0.00099000,0.00000000,0.00000000,0.00000000,NA,NA,NA
1,1,MS,3,blade,LeafElement1,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00002090,927.25425000,NA,NA,NA,NA,NA,0.27972459,NA,NA,NA,NA,NA,NA,26.17348287,0.11292530,NA,6.69832166,0.00400000,80.80089055,2.24000000,NA,0.46295991,NA,0.00000000,0.00000000,0.05000000,0.05104960,False,True,0.00001000,0.00417081,0.00000000,0.00000000,1.00000000,0.00000000,22.44062573,0.00001000,0.00417081,0.00000000,24.53417647,NA,0.00000000,0.00041484
1,1,MS,3,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,5.48691296,18.74459875,0.00000000,0.00000000,0.22410944,1.24865961,0.08100281,0.00000000,0.00000000,0.00001010,NA,NA,0.00000000,0.00000000,0.00001512,0.05209640,0.00000000,0.00000000,0.00000000,0.00000208,4.73409198,0.00000000,0.00000000,11.16951391,0.00000000,0.00000000,10.00000000,NA,0.40044528,0.51638272,NA,0.00000000,0.00000000,8.89389882,0.00040835,0.00000000,NA,False,False,0.02895000,0.00201801,4934.92763799,0.00201801,1.00000000,0.00000000,9.93170262,0.00000000,0.00000000,0.00000000,5.15275687,0.05211152,0.00000000,0.00448990
1,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40044528,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001007,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,NA,NA,NA
1,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40044528,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005069,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,NA,NA,NA
