t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
8,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.91760112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.55331377,NA,NA
8,1,MS,roots,0.03180415,31.63029459,0.15406627,0.41432782,0.06551989,0.00000066,0.19314597,0.00017636,NA,0.10247229,0.00000000,NA,NA,NA,0.06583188,1.09830321,1.46891396,NA,1.27885938,NA,NA,13.33339960,5.01768645,158.15147293,0.00000000,NA,0.73625081,8.43698809,0.00008905,0.03523262,17.81988212,NA,0.00000000,0.00129172,0.00000000,NA,NA,120.57114196,3.18931986,0.16830417
9,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.96724028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.70625782,NA,NA
9,1,MS,roots,0.03180901,40.65111964,0.16695108,0.40374509,0.06538230,0.00000074,0.26728747,0.00017681,NA,0.10274700,0.00000000,NA,NA,NA,0.06620532,1.09847127,1.46913794,NA,1.27606652,NA,NA,13.42652296,6.14087130,203.25559819,0.00000000,NA,0.79756516,8.41653158,0.00008907,0.03532168,17.35908054,NA,0.00000000,0.00129214,0.00000000,NA,NA,121.29980081,3.18980790,0.16895232
10,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.98579710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276.68890237,NA,NA
10,1,MS,roots,0.03192323,48.43807159,0.18351045,0.39338504,0.06524411,0.00000083,0.34449623,0.00017725,NA,0.10311426,0.00000000,NA,NA,NA,0.06695605,1.10241560,1.47066766,NA,1.27466311,NA,NA,13.53729499,6.99009986,242.19035794,0.00000000,NA,0.87641396,8.39625935,0.00008939,0.03541107,16.90864634,NA,0.00000000,0.00129252,0.00000000,NA,NA,123.22863997,3.20126167,0.17007031
11,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.98589971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288.67396593,NA,NA
11,1,MS,roots,0.03213079,54.98719851,0.20135611,0.38330458,0.06511604,0.00000091,0.41890501,0.00017770,NA,0.10355482,0.00000000,NA,NA,NA,0.06796849,1.10958341,1.47320829,NA,1.27420503,NA,NA,13.65424393,7.60585132,274.93599256,0.00000000,NA,0.96123211,8.37620919,0.00008997,0.03550103,16.46834589,NA,0.00000000,0.00129307,0.00000000,NA,NA,126.17529021,3.22207598,0.17152331
12,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.97650633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.81688555,NA,NA
12,1,MS,roots,0.03240991,60.36434986,0.21858791,0.37327910,0.06495948,0.00000100,0.48468332,0.00017816,NA,0.10404886,0.00000000,NA,NA,NA,0.06914562,1.11922220,1.47646245,NA,1.27424753,NA,NA,13.76896242,8.02984491,301.82174928,0.00000000,NA,1.04354068,8.35645026,0.00009075,0.03559178,16.03834035,NA,0.00000000,0.00129301,0.00000000,NA,NA,129.96662306,3.25006571,0.17319447
13,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.86800365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298.36419595,NA,NA
13,1,MS,roots,0.03273806,48.33110924,0.02321057,0.03236062,0.00568847,0.00000109,0.46336783,0.00017861,NA,0.10447045,0.00000000,NA,NA,NA,0.07010960,1.13055448,1.47863672,NA,1.27548371,NA,NA,14.02954080,6.37256998,241.65554618,0.00000000,NA,1.27138099,8.39617677,0.00009167,0.03568345,15.95325199,NA,0.00000000,0.00011269,0.00000000,NA,NA,132.61009881,3.28297308,0.17458006
14,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.69252754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293.17005759,NA,NA
