t,plant,axis,metamer,AA_consumption_mstruct,D_Fructan,D_Proteins,LSIW,LSSW,Nstruct,Respi_growth,SSLW,S_Fructan,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,amino_acids,delta_internode_L,delta_internode_distance_to_emerge,delta_internode_pseudo_age,delta_leaf_L,delta_leaf_pseudo_age,delta_leaf_pseudostem_length,fructan,hiddenzone_age,internode_L,internode_Lmax,internode_Lmax_lig,internode_distance_to_emerge,internode_enclosed_Nstruct,internode_enclosed_mstruct,internode_is_growing,internode_is_remobilizing,internode_is_visible,internode_pseudo_age,is_over,lamina_Lmax,leaf_L,leaf_Lmax,leaf_Lmax_em,leaf_Wmax,leaf_enclosed_Nstruct,leaf_enclosed_mstruct,leaf_is_emerged,leaf_is_growing,leaf_is_remobilizing,leaf_pseudo_age,leaf_pseudostem_length,mean_conc_sucrose,mstruct,nb_replications,proteins,ratio_DZ,sheath_Lmax,sucrose,sucrose_consumption_mstruct
1,1,MS,5,0.00005128,0.00181621,9.44550519,NA,NA,0.00000015,0.00171421,NA,80.66770912,197.17707263,0.00611203,0.02801043,0.00279310,0.00000035,-0.00006007,0.00000000,0.00001855,0.00000000,-0.00011042,0.00181621,2745366.41197231,0.00005069,NA,NA,0.02893993,0.00000000,0.00000001,True,False,False,0.00000000,False,NA,0.00200470,NA,NA,NA,0.00000015,0.00002948,False,True,False,0.00000000,0.02888958,1818.77066943,0.00002948,1,0.53561867,1.00000000,NA,0.05141372,0.00514264
1,1,MS,6,0.00000905,0.00053114,9.48562533,NA,NA,0.00000004,0.00030243,NA,80.67222538,197.22046967,0.00178700,0.00819244,0.00081686,0.00000000,0.00000000,0.00000000,0.00000444,0.00000000,0.00000000,0.00053114,2197446.41197231,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00076298,NA,NA,NA,0.00000004,0.00000862,False,True,False,0.00000000,0.02900000,NA,0.00000862,1,0.15726228,1.00000000,NA,0.01503280,0.00090729
1,1,MS,7,0.00000280,0.00017413,9.47955543,NA,NA,0.00000001,0.00009376,NA,80.67499662,197.24705296,0.00058585,0.00268510,0.00026780,0.00000000,0.00000000,0.00000000,0.00000176,0.00000000,0.00000000,0.00017413,1649526.41197231,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00031728,NA,NA,NA,0.00000001,0.00000283,False,True,False,0.00000000,0.02900000,NA,0.00000283,1,0.05151505,1.00000000,NA,0.00492774,0.00028127
1,1,MS,8,0.00000096,0.00006627,9.49199318,NA,NA,0.00000001,0.00003214,NA,80.67668977,197.26331113,0.00022296,0.00102200,0.00010193,0.00000000,0.00000000,0.00000000,0.00000075,0.00000000,0.00000000,0.00006627,1101606.41197231,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00014737,NA,NA,NA,0.00000001,0.00000108,False,True,False,0.00000000,0.02900000,NA,0.00000108,1,0.01963098,1.00000000,NA,0.00187542,0.00009642
1,1,MS,9,0.00000042,0.00003059,9.50782588,NA,NA,0.00000000,0.00001417,NA,80.67770209,197.27303393,0.00010291,0.00047181,0.00004705,0.00000000,0.00000000,0.00000000,0.00000039,0.00000000,0.00000000,0.00003059,553686.41197231,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00007879,NA,NA,NA,0.00000000,0.00000050,False,True,False,0.00000000,0.02900000,NA,0.00000050,1,0.00907636,1.00000000,NA,0.00086567,0.00004251
1,1,MS,10,0.00000022,0.00001776,9.50597807,NA,NA,0.00000000,0.00000724,NA,80.67827331,197.27851414,0.00005976,0.00027394,0.00002732,0.00000000,0.00000000,0.00000000,0.00000023,0.00000000,0.00000000,0.00001776,5766.41197231,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00004986,NA,NA,NA,0.00000000,0.00000029,False,True,False,0.00000000,0.02900000,NA,0.00000029,1,0.00526905,1.00000000,NA,0.00050264,0.00002171
2,1,MS,3,0.00103037,5.88269013,2.61812862,1.00000000,0.09000000,0.00001015,0.03444169,21.00000000,0.00000044,71.46386287,0.04893570,-4.45485024,0.22294122,0.00000000,0.00000000,0.00000000,0.00027287,2883.20598615,0.00000000,8.91148862,3844089.61795846,0.00005000,NA,NA,0.02900000,0.00000001,0.00000132,True,False,False,872649.61795846,False,0.09721913,0.09337234,0.12778483,0.12300000,0.00400000,0.00001014,0.00202667,True,True,False,1578649.61795846,0.02895000,1800.00000000,0.00202799,1,10.21143209,0.00000000,0.03056570,4.81620097,0.10332507
2,1,MS,4,0.00157544,1.91701288,4.35114960,NA,NA,0.00000414,0.05266172,NA,100.33153359,114.46495224,0.10125057,0.57245054,0.09078582,0.00000007,0.00000000,0.00000000,0.00017729,2883.20598615,-0.00000007,1.91701288,3296169.61795846,0.00001021,NA,NA,0.02895000,0.00000000,0.00000017,True,False,False,0.00000000,False,0.09910648,0.02706490,0.13394458,0.13300000,NA,0.00000414,0.00082651,False,True,False,765649.61795846,0.02893986,1808.91652464,0.00082668,1,6.91787578,0.29170624,0.03399352,1.95947315,0.15798516
2,1,MS,5,0.00004720,0.00451788,9.50713757,NA,NA,0.00000015,0.00157772,NA,100.34759191,219.08535492,0.00657330,0.02211409,0.00325437,0.00000035,-0.00000007,0.00000000,0.00001567,0.00000000,-0.00000042,0.00451788,2748249.61795846,0.00005105,NA,NA,0.02893986,0.00000000,0.00000001,True,False,False,0.00000000,False,NA,0.00202037,NA,NA,NA,0.00000015,0.00002960,False,True,False,0.00000000,0.02888917,1818.48808247,0.00002962,1,0.54153005,1.00000000,NA,0.07021757,0.00473317
2,1,MS,6,0.00000823,0.00131925,9.56409929,NA,NA,0.00000004,0.00027522,NA,100.35056889,219.12810990,0.00191825,0.00645881,0.00095002,0.00000000,0.00000000,0.00000000,0.00000374,0.00000000,0.00000000,0.00131925,2200329.61795846,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00076672,NA,NA,NA,0.00000004,0.00000864,False,True,False,0.00000000,0.02900000,NA,0.00000864,1,0.15898735,1.00000000,NA,0.02049323,0.00082565
