t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
0,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,0.68211,NA,NA,NA,NA,0.00566,NA,0.00000,1.66999,NA,NA,NA,NA,734.46418,NA,NA,NA,NA,NA,50.00361,NA,NA,0.00000,0.00000,2000.86809,NA,NA,NA
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.19098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3300.41867,NA,NA
0,1,MS,roots,0.00712,37.38948,0.10703,0.00183,0.03044,111.92368,2.57185,0.00999,NA,2.42101,1.54160,NA,NA,NA,0.86745,0.24597,0.61167,NA,0.03214,NA,NA,772.99792,0.63390,186.94742,3.88312,NA,59.07201,2.51547,0.00002,1.99899,252.33910,NA,0.00000,0.00201,0.00103,NA,NA,858.78657,0.71426,4.83006
1,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,0.54276,NA,NA,NA,NA,0.00592,NA,0.00000,1.32882,NA,NA,NA,NA,1289.60742,NA,NA,NA,NA,NA,50.00876,NA,NA,0.00000,0.00000,2001.63882,NA,NA,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.50461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4152.21345,NA,NA
1,1,MS,roots,0.00712,50.87948,0.10287,0.00185,0.03125,99.26060,2.37033,0.00999,NA,2.47875,1.89429,NA,NA,NA,1.02830,0.24597,0.62626,NA,0.07565,NA,NA,770.70280,1.13374,254.39739,4.77152,NA,56.77690,2.58230,0.00002,1.99899,255.24572,NA,0.00000,0.00201,0.00103,NA,NA,1218.72424,0.71426,5.40135
2,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,0.43277,NA,NA,NA,NA,0.00561,NA,0.00000,1.05954,NA,NA,NA,NA,1725.56130,NA,NA,NA,NA,NA,50.01391,NA,NA,0.00000,0.00000,2002.26153,NA,NA,NA
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.71002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4478.55346,NA,NA
2,1,MS,roots,0.02533,44.83289,0.05648,0.00104,0.01853,91.49219,1.58934,0.00999,NA,2.50213,2.22389,NA,NA,NA,1.15976,0.87458,0.63234,NA,0.13650,NA,NA,770.09032,1.18675,224.16446,5.60175,NA,56.35678,2.76780,0.00007,1.99845,259.04515,NA,0.00000,0.00111,0.00164,NA,NA,1589.73791,2.53965,5.88578
3,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,0.50338,NA,NA,NA,NA,0.00743,NA,0.00000,1.23242,NA,NA,NA,NA,2229.16320,NA,NA,NA,NA,NA,50.02087,NA,NA,0.00000,0.00000,2002.98828,NA,NA,NA
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.96881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4636.93435,NA,NA
3,1,MS,roots,0.02533,35.96576,0.05743,0.00106,0.02079,95.54703,1.08220,0.00999,NA,2.75852,2.72707,NA,NA,NA,1.35362,0.87458,0.69713,NA,0.21239,NA,NA,771.03620,1.08468,179.82881,6.86918,NA,57.30266,3.10482,0.00007,1.99845,264.06995,NA,0.00000,0.00111,0.00164,NA,NA,1904.40077,2.53965,6.83920
4,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,0.37715,NA,NA,NA,NA,0.00617,NA,0.00000,0.92337,NA,NA,NA,NA,2604.98552,NA,NA,NA,NA,NA,50.02673,NA,NA,0.00000,0.00000,2003.53347,NA,NA,NA
4,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.60277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4730.12953,NA,NA
4,1,MS,roots,0.05800,27.05581,0.05373,0.00099,0.02154,87.49697,0.74372,0.00999,NA,2.60812,2.75940,NA,NA,NA,1.35827,2.00290,0.65925,NA,0.24297,NA,NA,772.27500,0.90382,135.27903,6.95063,NA,58.67107,3.52174,0.00016,1.99809,269.40181,NA,0.00000,0.00102,0.00216,NA,NA,2134.38512,5.81615,6.72579
5,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,0.21288,NA,NA,NA,NA,0.00378,NA,0.00000,0.52119,NA,NA,NA,NA,2816.51979,NA,NA,NA,NA,NA,50.03036,NA,NA,0.00000,0.00000,2003.84136,NA,NA,NA
5,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.80533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4800.12632,NA,NA
5,1,MS,roots,0.05800,20.09432,0.05511,0.00101,0.02426,78.13238,0.52386,0.00999,NA,2.37892,2.63631,NA,NA,NA,1.30565,2.00290,0.60131,NA,0.24911,NA,NA,773.77865,0.72851,100.47161,6.64057,NA,60.17472,3.96621,0.00016,1.99809,274.64894,NA,0.00000,0.00102,0.00216,NA,NA,2308.19897,5.81615,6.32088
6,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,0.46699,NA,NA,NA,NA,0.00892,NA,0.00000,1.14332,NA,NA,NA,NA,3279.31812,NA,NA,NA,NA,NA,50.03896,NA,NA,0.00000,0.00000,2004.51679,NA,NA,NA
6,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.92433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4862.48519,NA,NA
6,1,MS,roots,0.09721,16.71048,0.09323,0.00170,0.04568,92.31517,0.42452,0.00999,NA,2.85424,3.26150,NA,NA,NA,1.54490,3.35703,0.72159,NA,0.32243,NA,NA,775.33901,0.65166,83.55238,8.21536,NA,61.86885,4.53804,0.00027,1.99772,281.24813,NA,0.00000,0.00167,0.00281,NA,NA,2435.33207,9.74834,7.66064
