N_exudation,organ,Conc_Nitrates,S_Amino_Acids,RGR_Structure,Conc_Amino_Acids,sum_respi,synthetized_mstruct,Unloading_Amino_Acids,Nstruct,HATS_LATS,amino_acids,plant,WSC_g,Conc_Sucrose,nitrates,structure,Export_Nitrates,AA_consumption_mstruct,proteins,Conc_cytokinins,sucrose,S_grain_starch,S_grain_structure,Uptake_Nitrates,age_from_flowering,S_cytokinins,mstruct,S_Proteins,cytokinins,R_residual,R_grain_growth_starch,axis,R_Nnit_upt,N_tot,R_Nnit_red,sucrose_consumption_mstruct,t,starch,Export_Amino_Acids,Dry_Mass,Proteins_N_Mass,Export_cytokinins,Unloading_Sucrose,Total_Organic_Nitrogen,senesced_mstruct,C_exudation,regul_transpiration,R_grain_growth_struct,Respi_growth
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5988.33712,NA,NA,260.61829,NA,NA,0,26.4399,NA,1075787.336,NA,NA,0.56518,NA,NA,0,MS,NA,0.003648656,NA,NA,379,0,NA,0.1979237,0.003648656,NA,NA,NA,0,NA,NA,10.79939,NA
NA,phloem,NA,NA,NA,124.5627523,NA,NA,NA,NA,NA,347.04117,1,0.463857053,606.9992747,NA,NA,NA,NA,NA,NA,16234.99684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.004858576,NA,NA,379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.33037,roots,1258.083962,2.9841,NA,126.9397687,10.57646,NA,1.6107,0.00768,7.61696,80.54487,1,0.104973379,603.1645456,638.616,NA,0.54235,0.5302,NA,35.79616241,3674.06826,NA,NA,2.32329,NA,2.70208,0.50761,NA,18.17049,6.657965492,NA,MS,0.92235,0.017748252,2.9992,53.16818,379,NA,2.0521,NA,NA,1.03082,75.35052,628.93027,0.18787,15.0701,0.00944,NA,18.30948
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6001.23102,NA,NA,261.08473,NA,NA,0,21.81992,NA,1078311.224,NA,NA,0.46752,NA,NA,0,MS,NA,0.003655186,NA,NA,380,0,NA,0.198340113,0.003655186,NA,NA,NA,0,NA,NA,8.91236,NA
NA,phloem,NA,NA,NA,124.6887871,NA,NA,NA,NA,NA,347.46245,1,0.46333597,606.1950013,NA,NA,NA,NA,NA,NA,16216.75894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.004864474,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.36084,roots,1258.97465,2.55306,NA,129.5048257,9.13389,NA,1.72463,0.00767,6.47019,82.187,1,0.104762404,601.8455994,639.18143,NA,0.11513,0.35413,NA,37.59734095,3666.68413,NA,NA,1.97137,NA,2.312,0.5077,NA,19.08817,5.803187169,NA,MS,0.78264,0.017769158,2.56646,35.51257,380,NA,0.4441,NA,NA,0.22967,80.49166,629.95848,0.18877,16.09833,0.002,NA,12.22943
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6013.76707,NA,NA,261.53945,NA,NA,0,21.21371,NA,1080759.954,NA,NA,0.45588,NA,NA,0,MS,NA,0.003661552,NA,NA,381,0,NA,0.198745095,0.003661552,NA,NA,NA,0,NA,NA,8.66476,NA
NA,phloem,NA,NA,NA,124.9611374,NA,NA,NA,NA,NA,348.2745,1,0.463040875,605.7165403,NA,NA,NA,NA,NA,NA,16206.43061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.004875843,NA,NA,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.19058,roots,1260.03244,2.49381,NA,131.5640418,8.95203,NA,0.90171,0.00767,6.26236,83.49383,1,0.105045512,603.4720192,639.71847,NA,0.11522,0.35413,NA,39.3922986,3676.59293,NA,NA,1.91059,NA,2.25821,0.5077,NA,19.99947,5.698434395,NA,MS,0.7585,0.017794972,2.5069,35.51257,381,NA,0.45116,NA,NA,0.24063,41.95984,631.26531,0.18877,8.39197,0.002,NA,12.22943
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6025.95072,NA,NA,261.98269,NA,NA,0,20.6161,NA,1083135.168,NA,NA,0.44427,NA,NA,0,MS,NA,0.003667758,NA,NA,382,0,NA,0.199138827,0.003667758,NA,NA,NA,0,NA,NA,8.42066,NA
NA,phloem,NA,NA,NA,124.9401743,NA,NA,NA,NA,NA,348.28323,1,0.461765049,603.9311258,NA,NA,NA,NA,NA,NA,16161.7767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.004875965,NA,NA,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.27438,roots,1260.835188,2.43497,NA,133.7411922,8.75057,NA,1.27476,0.00766,6.07471,84.89055,1,0.104580195,600.6923531,640.2395,NA,0.09737,0.33338,NA,41.11648516,3660.30684,NA,NA,1.84913,NA,2.20532,0.50779,NA,20.87854,5.583571167,NA,MS,0.7341,0.017811821,2.44818,33.43147,382,NA,0.38731,NA,NA,0.21211,59.15425,632.08541,0.18961,11.83085,0.00169,NA,11.51276
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6037.7884,NA,NA,262.41449,NA,NA,0,20.03044,NA,1085438.52,NA,NA,0.43278,NA,NA,0,MS,NA,0.003673803,NA,NA,383,0,NA,0.199521496,0.003673803,NA,NA,NA,0,NA,NA,8.18145,NA
NA,phloem,NA,NA,NA,125.0787877,NA,NA,NA,NA,NA,348.71966,1,0.461141239,603.0287299,NA,NA,NA,NA,NA,NA,16139.94335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.004882075,NA,NA,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.14431,roots,1261.807913,2.37802,NA,135.5858761,8.57201,NA,0.66379,0.00766,5.8824,86.06144,1,0.104698408,601.3713461,640.73344,NA,0.09744,0.33338,NA,42.84367554,3664.44427,NA,NA,1.79159,NA,2.15372,0.50779,NA,21.75559,5.479957035,NA,MS,0.71126,0.017835128,2.39092,33.43147,383,NA,0.39265,NA,NA,0.22102,30.72243,633.2563,0.18961,6.14449,0.00169,NA,11.51276
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6055.08399,NA,NA,263.04703,NA,NA,0,29.27749,NA,1088796.231,NA,NA,0.63422,NA,NA,0,MS,NA,0.003682658,NA,NA,384,0,NA,0.20008077,0.003682658,NA,NA,NA,0,NA,NA,11.95841,NA
NA,phloem,NA,NA,NA,124.8050991,NA,NA,NA,NA,NA,348.05022,1,0.459057758,600.1427435,NA,NA,NA,NA,NA,NA,16067.02153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.004872703,NA,NA,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.32677,roots,1262.097279,3.22125,NA,136.1703733,11.35317,NA,1.48893,0.00765,7.95155,86.45457,1,0.103915919,596.7240871,641.04445,NA,0.46817,0.47094,NA,43.54538116,3637.05718,NA,NA,2.41254,NA,2.91817,0.50792,NA,22.11757,7.165638093,NA,MS,0.95778,0.017834986,3.23953,47.22551,384,NA,1.8942,NA,NA,1.07902,68.73342,632.83529,0.1908,13.74668,0.00811,NA,16.26301
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6072.11874,NA,NA,263.67172,NA,NA,0,28.83614,NA,1092094.353,NA,NA,0.62646,NA,NA,0,MS,NA,0.003691404,NA,NA,385,0,NA,0.200631784,0.003691404,NA,NA,NA,0,NA,NA,11.77814,NA
NA,phloem,NA,NA,NA,124.8766028,NA,NA,NA,NA,NA,348.32143,1,0.45809431,598.7597376,NA,NA,NA,NA,NA,NA,16033.30085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.0048765,NA,NA,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1632,roots,1262.670027,3.17231,NA,136.3499449,11.19686,NA,0.74525,0.00765,7.79078,86.56858,1,0.103981224,597.0990904,641.33536,NA,0.46838,0.47094,NA,44.27679556,3639.34284,NA,NA,2.3645,NA,2.87383,0.50792,NA,22.48907,7.06909941,NA,MS,0.93871,0.017840655,3.19032,47.22551,385,NA,1.8967,NA,NA,1.09715,34.30393,632.9493,0.1908,6.86079,0.00811,NA,16.26301
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6088.13724,NA,NA,264.26083,NA,NA,0,27.11272,NA,1095187.758,NA,NA,0.59069,NA,NA,0,MS,NA,0.003699652,NA,NA,386,0,NA,0.201150099,0.003699652,NA,NA,NA,0,NA,NA,11.07421,NA
NA,phloem,NA,NA,NA,124.6714128,NA,NA,NA,NA,NA,347.8348,1,0.45616239,596.0876684,NA,NA,NA,NA,NA,NA,15965.68364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.004869687,NA,NA,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3096,roots,1262.842726,3.00484,NA,136.6187824,10.62019,NA,1.40479,0.00764,7.37267,86.75805,1,0.103251558,592.7806954,641.56199,NA,0.4776,0.4338,NA,44.68466429,3613.80452,NA,NA,2.22956,NA,2.72277,0.50803,NA,22.70115,6.719094395,NA,MS,0.88514,0.017836481,3.02259,43.50125,386,NA,1.93755,NA,NA,1.12888,64.48004,632.39042,0.1919,12.89601,0.00827,NA,14.98049
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6103.60376,NA,NA,264.83131,NA,NA,0,26.17796,NA,1098167.204,NA,NA,0.57208,NA,NA,0,MS,NA,0.003707638,NA,NA,387,0,NA,0.201650725,0.003707638,NA,NA,NA,0,NA,NA,10.6924,NA
NA,phloem,NA,NA,NA,124.7842969,NA,NA,NA,NA,NA,348.21526,1,0.455262543,594.799875,NA,NA,NA,NA,NA,NA,15934.18902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.004875014,NA,NA,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.15444,roots,1263.237702,2.91337,NA,136.4911993,10.32217,NA,0.70406,0.00764,7.12265,86.67703,1,0.103321212,593.1805914,641.76265,NA,0.47775,0.4338,NA,45.09223865,3616.24243,NA,NA,2.15467,NA,2.63986,0.50803,NA,22.90821,6.535360807,NA,MS,0.8554,0.017838156,2.93058,43.50125,387,NA,1.93574,NA,NA,1.13917,32.21757,632.3094,0.1919,6.44351,0.00827,NA,14.98049
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6118.52633,NA,NA,265.38351,NA,NA,0,25.25545,NA,1101035.124,NA,NA,0.55379,NA,NA,0,MS,NA,0.003715369,NA,NA,388,0,NA,0.202133929,0.003715369,NA,NA,NA,0,NA,NA,10.31561,NA
NA,phloem,NA,NA,NA,124.690054,NA,NA,NA,NA,NA,348.03332,1,0.453487136,592.342333,NA,NA,NA,NA,NA,NA,15872.04975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.004872467,NA,NA,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.29334,roots,1263.238104,2.82339,NA,136.3658992,10.00449,NA,1.33386,0.00763,6.9051,86.61621,1,0.102637724,589.1290376,641.90181,NA,0.50766,0.40211,NA,45.1691463,3592.32035,NA,NA,2.08177,NA,2.55889,0.50814,NA,22.95225,6.340792617,NA,MS,0.82646,0.017829252,2.84066,40.32362,388,NA,2.05508,NA,NA,1.21258,60.83068,631.55621,0.19292,12.16614,0.00879,NA,13.88621
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6134.96335,NA,NA,265.99392,NA,NA,0,27.82269,NA,1104186.365,NA,NA,0.61237,NA,NA,0,MS,NA,0.003723915,NA,NA,389,0,NA,0.202666394,0.003723915,NA,NA,NA,0,NA,NA,11.3642,NA
NA,phloem,NA,NA,NA,124.9006752,NA,NA,NA,NA,NA,348.69146,1,0.452648906,591.1283133,NA,NA,NA,NA,NA,NA,15842.7117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.00488168,NA,NA,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.16259,roots,1263.608454,3.05077,NA,136.174755,10.75627,NA,0.74353,0.00763,7.436,86.4948,1,0.102693136,589.447093,642.09,NA,0.50781,0.40211,NA,45.5379423,3594.25975,NA,NA,2.24243,NA,2.76496,0.50814,NA,23.13965,6.795287457,NA,MS,0.89025,0.017830187,3.06943,40.32362,389,NA,2.05219,NA,NA,1.22248,33.7819,631.4348,0.19292,6.75638,0.00879,NA,13.88621
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6153.47267,NA,NA,266.68351,NA,NA,0,31.3361,NA,1107725.265,NA,NA,0.69116,NA,NA,0,MS,NA,0.003733569,NA,NA,390,0,NA,0.203266219,0.003733569,NA,NA,NA,0,NA,NA,12.79925,NA
NA,phloem,NA,NA,NA,124.8154232,NA,NA,NA,NA,NA,348.55175,1,0.451509702,589.4743117,NA,NA,NA,NA,NA,NA,15802.83956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.004879725,NA,NA,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.42317,roots,1262.786885,3.36922,NA,133.6252622,11.78717,NA,1.9614,0.00762,8.27552,84.89714,1,0.10194705,585.0149773,641.83669,NA,1.01674,0.49582,NA,43.7516084,3568.14675,NA,NA,2.48623,NA,3.05425,0.50827,NA,22.23763,7.396476996,NA,MS,0.98703,0.017794274,3.3907,49.72076,390,NA,4.03457,NA,NA,2.35314,88.92712,628.98412,0.19418,17.78542,0.0176,NA,17.12229
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6176.39512,NA,NA,267.53829,NA,NA,0,38.824,NA,1112093.147,NA,NA,0.85636,NA,NA,0,MS,NA,0.003745536,NA,NA,391,0,NA,0.204009138,0.003745536,NA,NA,NA,0,NA,NA,15.85769,NA
NA,phloem,NA,NA,NA,125.0839125,NA,NA,NA,NA,NA,349.40002,1,0.452583041,590.7090426,NA,NA,NA,NA,NA,NA,15840.40643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.0048916,NA,NA,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.37273,roots,1262.659708,4.12833,NA,131.7696028,14.29178,NA,1.75815,0.00762,10.14802,83.71817,1,0.102301486,587.0488799,641.77205,NA,1.01663,0.49582,NA,42.90916245,3580.55201,NA,NA,3.05407,NA,3.74195,0.50827,NA,21.80944,8.907943468,NA,MS,1.21247,0.017776863,4.15464,49.72076,391,NA,3.97855,NA,NA,2.30783,79.70762,627.80515,0.19418,15.94152,0.0176,NA,17.12229
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6203.22948,NA,NA,268.53789,NA,NA,0,45.464,NA,1117185.808,NA,NA,1.00048,NA,NA,0,MS,NA,0.003759531,NA,NA,392,0,NA,0.204878734,0.00375953,NA,NA,NA,0,NA,NA,18.5698,NA
NA,phloem,NA,NA,NA,124.8622374,NA,NA,NA,NA,NA,348.92284,1,0.453024533,591.0445904,NA,NA,NA,NA,NA,NA,15855.85866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.00488492,NA,NA,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.74927,roots,1261.051941,5.02573,NA,127.5711914,17.24973,NA,3.6223,0.0076,12.53084,81.08106,1,0.101786681,583.8764472,641.19447,NA,1.74994,0.71274,NA,39.78192975,3562.53382,NA,NA,3.76102,NA,4.55596,0.50846,NA,20.22752,10.66408213,NA,MS,1.49312,0.017711857,5.05961,71.47334,392,NA,6.63858,NA,NA,3.68768,164.60586,623.94278,0.19599,32.92117,0.03032,NA,24.61321
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6232.11787,NA,NA,269.61089,NA,NA,0,48.95553,NA,1122642.694,NA,NA,1.07411,NA,NA,0,MS,NA,0.003774553,NA,NA,393,0,NA,0.205814573,0.003774552,NA,NA,NA,0,NA,NA,19.99592,NA
NA,phloem,NA,NA,NA,125.3127761,NA,NA,NA,NA,NA,350.3056,1,0.456177678,594.9481427,NA,NA,NA,NA,NA,NA,15966.21874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.004904278,NA,NA,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.63055,roots,1260.421842,5.8708,NA,124.1001927,20.11291,NA,3.15243,0.0076,14.70745,78.87498,1,0.102702812,589.1316295,640.87409,NA,1.74907,0.71274,NA,38.0151241,3594.59842,NA,NA,4.43408,NA,5.3204,0.50846,NA,19.32917,12.39818456,NA,MS,1.76033,0.017676487,5.91038,71.47334,393,NA,6.45795,NA,NA,3.5239,143.68153,621.73669,0.19599,28.73631,0.03032,NA,24.61321
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6261.51675,NA,NA,270.69964,NA,NA,0,49.82033,NA,1128169.276,NA,NA,1.08996,NA,NA,0,MS,NA,0.003789795,NA,NA,394,0,NA,0.206766618,0.003789795,NA,NA,NA,0,NA,NA,20.34915,NA
NA,phloem,NA,NA,NA,125.3062658,NA,NA,NA,NA,NA,350.4456,1,0.457667844,596.6221699,NA,NA,NA,NA,NA,NA,16018.37453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.004906238,NA,NA,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.88647,roots,1258.712342,6.32925,NA,119.9565289,21.63111,NA,4.56591,0.00758,16.09092,76.27136,1,0.102609275,588.3636434,640.25662,NA,2.19698,0.77376,NA,35.22443282,3591.32461,NA,NA,4.84802,NA,5.73583,0.50866,NA,17.91726,13.29261527,NA,MS,1.92466,0.017611392,6.37444,77.59282,394,NA,7.85154,NA,NA,4.10696,208.70126,617.80845,0.19796,41.74025,0.03813,NA,26.72057
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6291.00969,NA,NA,271.78951,NA,NA,0,49.9822,NA,1133686.147,NA,NA,1.09203,NA,NA,0,MS,NA,0.003805053,NA,NA,395,0,NA,0.207721466,0.003805053,NA,NA,NA,0,NA,NA,20.41527,NA
NA,phloem,NA,NA,NA,126.089743,NA,NA,NA,NA,NA,352.76285,1,0.461313823,601.1601669,NA,NA,NA,NA,NA,NA,16145.98381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.00493868,NA,NA,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6766,roots,1257.88104,6.77058,NA,115.8127787,23.1782,NA,3.64438,0.00758,17.31968,73.63666,1,0.103736656,594.8280728,639.83377,NA,2.19553,0.77376,NA,33.4898557,3630.78297,NA,NA,5.24662,NA,6.13345,0.50866,NA,17.03495,14.21546765,NA,MS,2.08291,0.017568586,6.81892,77.59282,395,NA,7.58032,NA,NA,3.90471,166.80365,615.17374,0.19796,33.36073,0.03813,NA,26.72057
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6320.43461,NA,NA,272.87574,NA,NA,0,49.86357,NA,1139163.644,NA,NA,1.08846,NA,NA,0,MS,NA,0.00382026,NA,NA,396,0,NA,0.208673996,0.00382026,NA,NA,NA,0,NA,NA,20.36681,NA
NA,phloem,NA,NA,NA,126.3552656,NA,NA,NA,NA,NA,353.66365,1,0.462908418,602.9687574,NA,NA,NA,NA,NA,NA,16201.79463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.004951291,NA,NA,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.85816,roots,1256.449456,7.04237,NA,112.4533742,24.05712,NA,4.7559,0.00756,18.23275,71.52878,1,0.103771567,594.7943852,639.35687,NA,2.36741,0.76783,NA,31.69166372,3632.00485,NA,NA,5.52305,NA,6.37941,0.50886,NA,16.12662,14.73672116,NA,MS,2.19265,0.017512399,7.09545,76.99757,396,NA,7.9457,NA,NA,3.98887,217.87382,611.759,0.1999,43.57476,0.04114,NA,26.51558
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6349.59053,NA,NA,273.95164,NA,NA,0,49.40813,NA,1144564.597,NA,NA,1.07876,NA,NA,0,MS,NA,0.003835323,NA,NA,397,0,NA,0.209617776,0.003835323,NA,NA,NA,0,NA,NA,20.18078,NA
NA,phloem,NA,NA,NA,127.3282874,NA,NA,NA,NA,NA,356.51443,1,0.466531647,607.4712176,NA,NA,NA,NA,NA,NA,16328.60764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.004991202,NA,NA,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.65182,roots,1255.84367,7.37104,NA,108.7719687,25.24414,NA,3.77569,0.00756,19.16379,69.18713,1,0.104888676,601.1973922,639.04861,NA,2.36627,0.76783,NA,30.66012263,3671.10366,NA,NA,5.83585,NA,6.67471,0.50886,NA,15.60171,15.44135215,NA,MS,2.31683,0.0174753,7.42661,76.99757,397,NA,7.68558,NA,NA,3.85904,172.92917,609.41735,0.1999,34.58583,0.04114,NA,26.51558
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6378.73489,NA,NA,275.02755,NA,NA,0,49.38493,NA,1149937.895,NA,NA,1.07884,NA,NA,0,MS,NA,0.003850386,NA,NA,398,0,NA,0.210561228,0.003850386,NA,NA,NA,0,NA,NA,20.17131,NA
NA,phloem,NA,NA,NA,127.6698879,NA,NA,NA,NA,NA,357.62889,1,0.467738412,608.7734873,NA,NA,NA,NA,NA,NA,16370.84441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.005006805,NA,NA,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.78752,roots,1255.082171,7.46534,NA,107.112639,25.48991,NA,4.63408,0.00755,19.53188,68.15845,1,0.10491083,601.0881248,638.91213,NA,2.24943,0.75422,NA,30.15699525,3671.87905,NA,NA,5.94742,NA,6.75999,0.50906,NA,15.35172,15.59715948,NA,MS,2.36112,0.017448988,7.52456,75.63293,398,NA,7.19902,NA,NA,3.61049,212.1299,607.11259,0.20182,42.42598,0.03912,NA,26.04564
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6407.93821,NA,NA,276.10675,NA,NA,0,49.48637,NA,1155296.439,NA,NA,1.08265,NA,NA,0,MS,NA,0.003865495,NA,NA,399,0,NA,0.211506703,0.003865494,NA,NA,NA,0,NA,NA,20.21274,NA
NA,phloem,NA,NA,NA,128.6208229,NA,NA,NA,NA,NA,360.42127,1,0.470694127,612.4018045,NA,NA,NA,NA,NA,NA,16474.29443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.005045898,NA,NA,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.57739,roots,1254.94093,7.51596,NA,104.5381998,25.69748,NA,3.51883,0.00755,19.67254,66.52027,1,0.10588673,606.6795597,638.84023,NA,2.24918,0.75422,NA,29.89928496,3706.03556,NA,NA,6.01756,NA,6.80375,0.50906,NA,15.22053,15.69045406,NA,MS,2.38897,0.017425047,7.57558,75.63293,399,NA,7.02599,NA,NA,3.57963,160.8401,605.47441,0.20182,32.16802,0.03912,NA,26.04564
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6438.01717,NA,NA,277.22022,NA,NA,0,50.96812,NA,1160789.811,NA,NA,1.11745,NA,NA,0,MS,NA,0.003881083,NA,NA,400,0,NA,0.212480723,0.003881083,NA,NA,NA,0,NA,NA,20.81796,NA
NA,phloem,NA,NA,NA,128.7957374,NA,NA,NA,NA,NA,361.07563,1,0.470544306,611.9284519,NA,NA,NA,NA,NA,NA,16469.05072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.005055059,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.66454,roots,1255.162098,6.9566,NA,105.485638,23.602,NA,4.01223,0.00753,18.18189,67.14952,1,0.105666455,605.1797232,639.20385,NA,1.6416,0.77187,NA,30.8657071,3698.32591,NA,NA,5.55481,NA,6.29794,0.50926,NA,15.71867,14.41552716,NA,MS,2.20526,0.017418947,7.01462,77.40318,400,NA,5.1736,NA,NA,2.69663,183.00226,604.80475,0.20377,36.60045,0.02854,NA,26.65526
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6468.42241,NA,NA,278.34889,NA,NA,0,51.52301,NA,1166316.393,NA,NA,1.1333,NA,NA,0,MS,NA,0.003896885,NA,NA,401,0,NA,0.213465631,0.003896884,NA,NA,NA,0,NA,NA,21.04461,NA
NA,phloem,NA,NA,NA,129.5104265,NA,NA,NA,NA,NA,363.21361,1,0.471791253,613.3230917,NA,NA,NA,NA,NA,NA,16512.69386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.005084991,NA,NA,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.41231,roots,1255.537407,6.33935,NA,104.4666693,21.49847,NA,2.53776,0.00753,16.50888,66.50087,1,0.106333608,609.0006889,639.39498,NA,1.64209,0.77187,NA,31.27249342,3721.67629,NA,NA,5.05927,NA,5.73803,0.50926,NA,15.92583,13.08368404,NA,MS,2.00853,0.017412542,6.39222,77.40318,401,NA,5.12362,NA,NA,2.73217,115.3738,604.1561,0.20377,23.07476,0.02854,NA,26.65526
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6497.66764,NA,NA,279.43819,NA,NA,0,49.54806,NA,1171607.986,NA,NA,1.09379,NA,NA,0,MS,NA,0.003912135,NA,NA,402,0,NA,0.214413343,0.003912135,NA,NA,NA,0,NA,NA,20.23794,NA
NA,phloem,NA,NA,NA,129.4943175,NA,NA,NA,NA,NA,363.3303,1,0.470248775,611.0455383,NA,NA,NA,NA,NA,NA,16458.70711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.005086624,NA,NA,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.50646,roots,1256.107859,5.40538,NA,106.5593373,18.2598,NA,3.04919,0.00751,14.01672,67.85965,1,0.1057563,605.4565111,639.93671,NA,0.99189,0.74414,NA,32.72947827,3701.47049,NA,NA,4.28326,NA,4.89365,0.50946,NA,16.67436,11.14555654,NA,MS,1.70046,0.017419149,5.45258,74.6222,402,NA,3.15542,NA,NA,1.72644,138.12696,604.26912,0.20566,27.62539,0.01722,NA,25.69758
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6526.29733,NA,NA,280.50895,NA,NA,0,48.50384,NA,1176765.488,NA,NA,1.07562,NA,NA,0,MS,NA,0.003927125,NA,NA,403,0,NA,0.215341559,0.003927125,NA,NA,NA,0,NA,NA,19.81143,NA
