sum_dry_mass_laminae,Cont_WSC_DM_shoot,Cont_WSC_DM,C_exudated,Tillers_Photosynthesis_An,senesced_mstruct,dry_mass_phloem,axis,C_N_ratio,sum_dry_mass,N_content_shoot,NS_roots,Cont_WSC_DM_laminae,t,sum_NSC_g,sum_respi_roots,mstruct_shoot,mstruct_laminae,sum_dry_mass_shoot,mstruct_stem,N_content,sum_C_g,C_respired_roots,Total_Transpiration,N_content_mstruct_shoot,C_respired_shoot,N_content_total_DM_shoot,NS_stem,C_N_ratio_shoot,N_content_roots,sum_dry_mass_stem,Cont_WSC_DM_stem,N_content_mstruct,shoot_roots_ratio,Total_Photosynthesis,N_content_mstruct_roots,plant,Tillers_Photosynthesis,NS_laminae,NS,mstruct,sum_respi_shoot,NNI,sum_N_g_shoot,sum_dry_mass_roots,Cont_WSC_DM_roots,NS_shoot,sum_N_g,shoot_roots_mstruct_ratio
0.02504394,19.130258869577865,18.980519816804094,2.09860510,34.15424616,0.00000000,0.00886311,MS,17.61649239,0.08345379,3.99468800,22.54767859,18.285647379763507,10.00000000,0.01272178,0.35984854,0.02009510,0.01311522,0.03773540,0.00697987,2.40169631,0.03530885,1.46776401,0.00306117,7.50138909,1.86297290,3.99468800,45.00336994,10.50399760,1.08686075,0.01269146,20.796922755399812,3.61103443,0.82538758,34.03604969,1.40326426,1,34.03604969,47.63115228,33.49007442,0.05133424,1.78261476,0.90788364,0.00150741,0.04571840,18.856927061873158,46.74735627,0.00200431,0.56749843
0.02519549,19.630122389453394,19.544042917330568,2.40567421,34.18428846,0.00000000,0.00926056,MS,17.72569767,0.08423965,3.98350882,23.12900332,18.719846084987367,11.00000000,0.01301804,0.36869069,0.02010181,0.01311522,0.03805752,0.00698659,2.38734320,0.03564796,1.48734099,0.00306155,7.54173402,1.84950658,3.98350882,45.68055773,10.53197253,1.07198344,0.01286203,21.413266135767305,3.61690702,0.82407474,34.06464411,1.39452263,1,34.06464411,47.94615249,33.99489702,0.05143166,1.76939681,0.90534291,0.00151602,0.04618212,19.473106999052952,47.18046530,0.00201109,0.56623754
0.02533690,20.086429223895436,20.09172409580779,2.66152006,34.21514827,0.00000000,0.00963299,MS,17.83056511,0.08502101,3.97415058,23.71792234,19.118516607776538,12.00000000,0.01331099,0.37881254,0.02010850,0.01311522,0.03836207,0.00699328,2.37367302,0.03598423,1.51039342,0.00306194,7.58170283,1.83734558,3.97415058,46.30953344,10.55529916,1.05779155,0.01302517,21.969237515665867,3.62313821,0.82218051,34.09403844,1.38668424,1,34.09403844,48.23667590,34.48571717,0.05153010,1.75746828,0.90321604,0.00152457,0.04665894,20.096077436299005,47.58234825,0.00201812,0.56496589
0.02490511,19.339595387694775,19.845376962537117,2.35312991,0.00000000,0.00000000,0.00964941,MS,17.74147548,0.08492020,4.00205788,23.99904400,17.916087850443333,13.00000000,0.01321470,0.38536851,0.02011517,0.01311522,0.03796644,0.00699995,2.38494097,0.03593175,1.53108905,0.00009026,7.55369598,0.45739601,4.00205788,46.40707645,10.48233302,1.07735308,0.01306133,22.053913580748528,3.62953276,0.80859206,0.00000000,1.41755201,1,0.00000000,47.33922911,34.29068899,0.05162967,0.37773807,0.90955861,0.00151944,0.04695376,20.254347927450816,47.01854708,0.00202530,0.56368215
0.02468075,18.872008835836596,19.603167132108425,2.14823147,0.00000000,0.00000000,0.00946789,MS,17.65418403,0.08482523,4.02070690,24.02305850,17.303986234939668,14.00000000,0.01312038,0.38988450,0.02012185,0.01311522,0.03773323,0.00700663,2.39606970,0.03588163,1.54624527,0.00009026,7.53977550,0.44986392,4.02070690,46.31954651,10.43381937,1.09430303,0.01305248,21.836960280508368,3.63584675,0.80126607,0.00000000,1.44030940,1,0.00000000,46.86051659,34.09871589,0.05173011,0.37010123,0.91379702,0.00151714,0.04709200,20.189019469076683,46.67338706,0.00203247,0.56239176
0.02452673,18.49799746565258,19.366158371319283,1.90240704,0.00000000,0.00000000,0.00926091,MS,17.56898711,0.08473704,4.03686327,23.96375001,16.88473446526669,15.00000000,0.01302861,0.39284509,0.02012855,0.01311522,0.03755755,0.00701333,2.40701989,0.03583436,1.55769851,0.00009026,7.53232096,0.44615561,4.03686327,46.17891860,10.39192178,1.10957199,0.01303082,21.534495691433182,3.64207543,0.79605680,0.00000000,1.45926711,1,0.00000000,46.52682550,33.91076221,0.05183125,0.36618512,0.91746893,0.00151615,0.04717949,20.05726376247596,46.40611708,0.00203964,0.56109783
0.02440569,18.17987253691906,19.13379934390625,1.68574769,0.00000000,0.00000000,0.00905732,MS,17.48585794,0.08465472,4.05147717,23.85860973,16.55214253210239,16.00000000,0.01293913,0.39442116,0.02013527,0.01311522,0.03741566,0.00702005,2.41779249,0.03578963,1.56567864,0.00009026,7.52851546,0.44383405,4.05147717,46.04098956,10.35415481,1.12383389,0.01300997,21.233368400938847,3.64819741,0.79204917,0.00000000,1.47598288,1,0.00000000,46.26163395,33.72638012,0.05193294,0.36360482,0.92079027,0.00151589,0.04723906,19.889356279964808,46.18491270,0.00204678,0.55980322
0.02430396,17.897318718639692,18.90527504947446,1.50819217,0.00000000,0.00000000,0.00886611,MS,17.40472842,0.08457713,4.06510210,23.72605977,16.269167323216823,17.00000000,0.01285156,0.39482513,0.02014201,0.01311522,0.03729515,0.00702679,2.42839394,0.03574698,1.57082852,0.00009026,7.52698248,0.44215081,4.06510210,45.91109458,10.31907461,1.13738904,0.01299119,20.943269524386565,3.65418563,0.78878137,0.00000000,1.49118957,1,0.00000000,46.03668562,33.54486652,0.05203503,0.36165783,0.92388684,0.00151609,0.04728198,19.70033222079207,45.99293792,0.00205387,0.55851008
0.02421473,17.642746945331496,18.679871456175963,1.36479323,0.00000000,0.00000000,0.00868642,MS,17.32553112,0.08450325,4.07786951,23.57293559,16.01769655330526,18.00000000,0.01276556,0.39433848,0.02014878,0.01311522,0.03719087,0.00703356,2.43883023,0.03570603,1.57380402,0.00009026,7.52698385,0.44080852,4.07786951,45.79624422,10.28632418,1.15042959,0.01297614,20.675247214362873,3.66001642,0.78607063,0.00000000,1.50526465,1,0.00000000,45.83783835,33.36559328,0.05213743,0.36005031,0.92678853,0.00151660,0.04731238,19.495124570936824,45.82332588,0.00206089,0.55722004
0.02413464,17.408311198755598,18.457015963805652,1.24921267,0.00000000,0.00000000,0.00851825,MS,17.24820695,0.08443228,4.09001901,23.40544812,15.789268712210635,19.00000000,0.01268084,0.39316486,0.02015556,0.01311522,0.03709825,0.00704034,2.44910589,0.03566646,1.57507563,0.00009026,7.52807290,0.43963967,4.09001901,45.69149165,10.25527624,1.16303345,0.01296361,20.422519824521753,3.66567046,0.78375414,0.00000000,1.51842843,1,0.00000000,45.65810874,33.18805056,0.05224005,0.35865092,0.92954978,0.00151733,0.04733404,19.27894266178742,45.66977406,0.00206784,0.55593431
