t,plant,axis,C_exudated,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,delta_teq,delta_teq_roots,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium
28,1,MS,2.96561922,False,0.00000000,10.00000000,0.00375533,1,2883.20598615,2883.20598615,0.05791758,10,0.00000000,vegetative,11.61291300,0.37979295,2.27529419,83612.97359848
29,1,MS,3.41014400,False,0.00000000,10.00000000,0.00376046,1,2883.20598615,2883.20598615,0.05805914,10,0.00000000,vegetative,12.01335828,0.38703149,2.25475293,86496.17958464
30,1,MS,3.76573615,False,0.00000000,10.00000000,0.00376560,1,2883.20598615,2883.20598615,0.05820163,10,0.00000000,vegetative,12.41380355,0.39600012,2.23547389,89379.38557079
31,1,MS,4.03353276,False,0.00000000,10.00000000,0.00377077,1,2883.20598615,2883.20598615,0.05834508,10,0.00000000,vegetative,12.81424883,0.40563058,2.21890038,92262.59155694
32,1,MS,4.23372167,False,0.00000000,10.00000000,0.00377638,1,2883.20598615,2883.20598615,0.05848947,10,0.00000000,vegetative,13.21469410,0.41429591,2.20794071,95145.79754310
33,1,MS,4.37671284,False,0.00000000,10.00000000,0.00377833,1,2883.20598615,2883.20598615,0.05863480,10,0.00000000,vegetative,13.61513938,0.42438979,2.19283358,98029.00352925
34,1,MS,4.49397657,False,0.00000000,10.00000000,0.00378665,1,2883.20598615,2883.20598615,0.05877923,10,0.00000000,vegetative,14.01558465,0.43286784,2.18832641,100912.20951541
35,1,MS,4.56334563,False,0.00000000,10.00000000,0.00379327,1,2883.20598615,2883.20598615,0.05892628,10,0.00000000,vegetative,14.41602993,0.44221630,2.18265994,103795.41550156
36,1,MS,4.62071810,False,0.00000000,10.00000000,0.00386721,1,2883.20598615,2883.20598615,0.05907350,10,0.00000000,vegetative,14.81647521,0.45100643,2.20505849,106678.62148772
37,1,MS,3.64423105,False,0.00000000,10.00000000,0.00011576,1,2883.20598615,2883.20598615,0.05922217,10,0.00000000,vegetative,15.21692048,0.45604129,0.57713687,109561.82747387
38,1,MS,2.92436068,False,0.00000000,10.00000000,0.00011589,1,2883.20598615,2883.20598615,0.05937145,10,0.00000000,vegetative,15.61736576,0.46067367,0.57200474,112445.03346003
39,1,MS,2.33871056,False,0.00000000,10.00000000,0.00011602,1,2883.20598615,2883.20598615,0.05952125,10,0.00000000,vegetative,16.01781103,0.46331309,0.56950697,115328.23944618
40,1,MS,1.90934202,False,0.00000000,10.00000000,0.00011614,1,2883.20598615,2883.20598615,0.05967150,10,0.00000000,vegetative,16.41825631,0.46446271,0.56795610,118211.44543233
41,1,MS,1.59898251,False,0.00000000,10.00000000,0.00011627,1,2883.20598615,2883.20598615,0.05982217,10,0.00000000,vegetative,16.81870159,0.46456479,0.56688762,121094.65141849
42,1,MS,1.37615962,False,0.00000000,10.00000000,0.00011639,1,2883.20598615,2883.20598615,0.05997323,10,0.00000000,vegetative,17.21914686,0.46393130,0.56611493,123977.85740464
43,1,MS,1.21419731,False,0.00000000,10.00000000,0.00011652,1,2883.20598615,2883.20598615,0.06012464,10,0.00000000,vegetative,17.61959214,0.46278706,0.56552694,126861.06339080
44,1,MS,1.09983146,False,0.00000000,10.00000000,0.00011664,1,2883.20598615,2883.20598615,0.06027640,10,0.00000000,vegetative,18.02003741,0.46126082,0.56507413,129744.26937695
45,1,MS,1.00855891,False,0.00000000,10.00000000,0.00011677,1,2883.20598615,2883.20598615,0.06042849,10,0.00000000,vegetative,18.42048269,0.45945344,0.56466784,132627.47536311
46,1,MS,0.95380488,False,0.00000000,10.00000000,0.00011689,1,2883.20598615,2883.20598615,0.06058091,10,0.00000000,vegetative,18.82092797,0.45750086,0.56435300,135510.68134926
47,1,MS,0.91125743,False,0.00000000,10.00000000,0.00011702,1,2883.20598615,2883.20598615,0.06073364,10,0.00000000,vegetative,19.22137324,0.45542096,0.56404620,138393.88733542
48,1,MS,0.88023721,False,0.00000000,10.00000000,0.00011714,1,2883.20598615,2883.20598615,0.06088668,10,0.00000000,vegetative,19.62181852,0.45325353,0.56375293,141277.09332157
49,1,MS,1.33076546,False,0.00000000,10.00000000,0.00392295,1,2883.20598615,2883.20598615,0.06104001,10,0.00000000,vegetative,20.02226379,0.45432823,2.95537777,144160.29930773
50,1,MS,2.15118774,False,0.00000000,10.00000000,0.00392784,1,2883.20598615,2883.20598615,0.06119378,10,0.00000000,vegetative,20.42270907,0.45108320,2.58800837,147043.50529388
51,1,MS,2.91484592,False,0.00000000,10.00000000,0.00393276,1,2883.20598615,2883.20598615,0.06134807,10,0.00000000,vegetative,20.82315434,0.45334672,2.56562302,149926.71128003
52,1,MS,3.50586668,False,0.00000000,10.00000000,0.00392914,1,2883.20598615,2883.20598615,0.06150296,10,0.00000000,vegetative,21.22359962,0.45883959,2.53453594,152809.91726619
53,1,MS,3.93402830,False,0.00000000,10.00000000,0.00393438,1,2883.20598615,2883.20598615,0.06166047,10,0.00000000,vegetative,21.62404490,0.46602244,2.51268572,155693.12325234
54,1,MS,4.24020794,False,0.00000000,10.00000000,0.00393811,1,2883.20598615,2883.20598615,0.06181669,10,0.00000000,vegetative,22.02449017,0.47462972,2.49084235,158576.32923850
55,1,MS,4.45759247,False,0.00000000,10.00000000,0.00394280,1,2883.20598615,2883.20598615,0.06197360,10,0.00000000,vegetative,22.42493545,0.48222752,2.47608854,161459.53522465
56,1,MS,4.61153132,False,0.00000000,10.00000000,0.00403871,1,2883.20598615,2883.20598615,0.06213121,10,0.00000000,vegetative,22.82538072,0.49048676,2.50454253,164342.74121081
57,1,MS,4.72516150,False,0.00000000,10.00000000,0.00404358,1,2883.20598615,2883.20598615,0.06228951,10,0.00000000,vegetative,23.22582600,0.49859227,2.49193835,167225.94719696
58,1,MS,4.79525247,False,0.00000000,10.00000000,0.00405050,1,2883.20598615,2883.20598615,0.06245023,10,0.00000000,vegetative,23.62627128,0.50669753,2.48417293,170109.15318312
59,1,MS,4.86265993,False,0.00000000,10.00000000,0.00405548,1,2883.20598615,2883.20598615,0.06260978,10,0.00000000,vegetative,24.02671655,0.51401783,2.47699305,172992.35916927
60,1,MS,4.92451508,False,0.00000000,10.00000000,0.00406403,1,2883.20598615,2883.20598615,0.06276996,10,0.00000000,vegetative,24.42716183,0.52132630,2.47698805,175875.56515542
61,1,MS,3.78967821,False,0.00000000,10.00000000,0.00012034,1,2883.20598615,2883.20598615,0.06293074,10,0.00000000,vegetative,24.82760710,0.52550828,0.64497624,178758.77114158
62,1,MS,2.88608678,False,0.00000000,10.00000000,0.00012052,1,2883.20598615,2883.20598615,0.06309204,10,0.00000000,vegetative,25.22805238,0.52843735,0.64074541,181641.97712773
63,1,MS,2.21781852,False,0.00000000,10.00000000,0.00012069,1,2883.20598615,2883.20598615,0.06325380,10,0.00000000,vegetative,25.62849765,0.52948348,0.63897313,184525.18311389
64,1,MS,1.76732941,False,0.00000000,10.00000000,0.00012097,1,2883.20598615,2883.20598615,0.06341599,10,0.00000000,vegetative,26.02894293,0.52921874,0.63812582,187408.38910004
65,1,MS,1.46698893,False,0.00000000,10.00000000,0.00012115,1,2883.20598615,2883.20598615,0.06357859,10,0.00000000,vegetative,26.42938821,0.52809697,0.63766383,190291.59508620
66,1,MS,1.26982881,False,0.00000000,10.00000000,0.00012132,1,2883.20598615,2883.20598615,0.06374157,10,0.00000000,vegetative,26.82983348,0.52642025,0.63745413,193174.80107235
67,1,MS,1.13846418,False,0.00000000,10.00000000,0.00012150,1,2883.20598615,2883.20598615,0.06390494,10,0.00000000,vegetative,27.23027876,0.52440704,0.63739408,196058.00705851
68,1,MS,1.04807852,False,0.00000000,10.00000000,0.00012168,1,2883.20598615,2883.20598615,0.06406869,10,0.00000000,vegetative,27.63072403,0.52216488,0.63741464,198941.21304466
69,1,MS,0.98588669,False,0.00000000,10.00000000,0.00012185,1,2883.20598615,2883.20598615,0.06423280,10,0.00000000,vegetative,28.03116931,0.51978522,0.63747600,201824.41903082
70,1,MS,0.93850901,False,0.00000000,10.00000000,0.00012203,1,2883.20598615,2883.20598615,0.06439728,10,0.00000000,vegetative,28.43161459,0.51728239,0.63754487,204707.62501697
71,1,MS,0.91736171,False,0.00000000,10.00000000,0.00012231,1,2883.20598615,2883.20598615,0.06456212,10,0.00000000,vegetative,28.83205986,0.51478959,0.63768982,207590.83100312
