t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
8,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.29020142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.46256535,NA,NA
8,1,MS,roots,0.01737448,0.00000000,0.00093811,0.00131119,0.00016827,0.98973932,0.00000000,0.00017460,NA,0.06969074,0.07845720,NA,NA,NA,0.05201590,0.59999873,1.00906345,NA,0.89618147,NA,NA,14.28745037,0.00000000,-38.81929196,0.19762519,NA,1.81580845,8.77646770,0.00004865,0.03488120,22.84137968,NA,0.00000000,0.00000319,0.00000000,NA,NA,121.78592220,1.74231291,0.20016384
9,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.24743963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.05802782,NA,NA
9,1,MS,roots,0.01714910,0.00000000,0.00098044,0.00136701,0.00017485,0.98462502,0.00000000,0.00017484,NA,0.06943376,0.07639052,NA,NA,NA,0.05150756,0.59221565,1.00396067,NA,0.89111044,NA,NA,14.32156313,0.00000000,-27.92350458,0.19241944,NA,1.83277212,8.80743298,0.00004802,0.03492921,22.99855244,NA,0.00000000,0.00000330,0.00000000,NA,NA,118.10408527,1.71971193,0.19733184
10,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.19388265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.24222852,NA,NA
10,1,MS,roots,0.01699182,0.00000000,0.00101062,0.00140538,0.00017920,0.98133140,0.00000000,0.00017508,NA,0.06930345,0.07461096,NA,NA,NA,0.05110086,0.58678422,1.00071338,NA,0.88750355,NA,NA,14.35557674,0.00000000,-18.89663746,0.18793692,NA,1.84979390,8.83830724,0.00004758,0.03497679,23.15109590,NA,0.00000000,0.00000337,0.00000000,NA,NA,114.78768829,1.70393982,0.19501527
11,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.13486772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.92887546,NA,NA
11,1,MS,roots,0.01690379,0.00000000,0.00100009,0.00138683,0.00017632,0.97991153,0.00000000,0.00017532,NA,0.06930326,0.07308600,NA,NA,NA,0.05079126,0.58374417,0.99935830,NA,0.88540127,NA,NA,14.38959824,0.00000000,-11.55170393,0.18409573,NA,1.86691161,8.86915005,0.00004733,0.03502412,23.29969858,NA,0.00000000,0.00000331,0.00000000,NA,NA,111.76032205,1.69511194,0.19318053
12,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.07023139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.12927450,NA,NA
12,1,MS,roots,0.01670429,0.00000000,0.00212428,0.00293849,0.00037260,0.97557410,0.00000000,0.00017555,NA,0.06908913,0.07143936,NA,NA,NA,0.05037096,0.57685465,0.99494179,NA,0.88041910,NA,NA,14.42239299,0.00000000,-6.01424286,0.17994801,NA,1.88300208,8.89966057,0.00004677,0.03507089,23.44254684,NA,0.00000000,0.00000696,0.00000000,NA,NA,108.97126388,1.67510573,0.19089945
