N_content_total_DM_shoot,N_content_mstruct_roots,sum_dry_mass_shoot,C_N_ratio,N_content_mstruct_shoot,NS,plant,axis,shoot_roots_ratio,senesced_mstruct,Cont_WSC_DM_laminae,sum_dry_mass_stem,dry_mass_phloem,sum_dry_mass,NS_shoot,Tillers_Photosynthesis_An,sum_NSC_g,N_content_mstruct,sum_dry_mass_laminae,Total_Transpiration,sum_dry_mass_roots,mstruct_laminae,Cont_WSC_DM_shoot,C_exudated,shoot_roots_mstruct_ratio,NS_laminae,sum_N_g_shoot,N_content,NS_stem,Cont_WSC_DM_roots,sum_C_g,sum_N_g,sum_respi_roots,t,Tillers_Photosynthesis,C_N_ratio_shoot,Total_Photosynthesis,NS_roots,C_respired_roots,mstruct_stem,N_content_roots,NNI,mstruct_shoot,Cont_WSC_DM_stem,sum_respi_shoot,N_content_shoot,Cont_WSC_DM,C_respired_shoot,mstruct
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0145900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0951900000,NA,NA,NA,31.7782300000,NA,NA,NA,NA,NA,NA,NA,NA,30.6810600000,267.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.8092000000,NA,NA,NA,2.4579500000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0163500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0773400000,NA,NA,NA,41.7607000000,NA,NA,NA,NA,NA,NA,NA,NA,28.5751000000,268.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.9806800000,NA,NA,NA,2.4586600000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0163500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0773400000,NA,NA,NA,27.8273300000,NA,NA,NA,NA,NA,NA,NA,NA,26.9086600000,269.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.0987800000,NA,NA,NA,2.4592000000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0182800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0331200000,NA,NA,NA,36.1353600000,NA,NA,NA,NA,NA,NA,NA,NA,23.6461900000,270.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.3182800000,NA,NA,NA,2.4598200000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0182800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0331200000,NA,NA,NA,19.8648900000,NA,NA,NA,NA,NA,NA,NA,NA,21.7793300000,271.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.7690600000,NA,NA,NA,2.4602500000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0202200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0132600000,NA,NA,NA,28.1223100000,NA,NA,NA,NA,NA,NA,NA,NA,20.3882700000,272.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.3056000000,NA,NA,NA,2.4608000000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0202200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0132600000,NA,NA,NA,13.5346200000,NA,NA,NA,NA,NA,NA,NA,NA,19.9967300000,273.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.6335300000,NA,NA,NA,2.4611800000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0221600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0124900000,NA,NA,NA,22.8875800000,NA,NA,NA,NA,NA,NA,NA,NA,19.6661000000,274.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5599900000,NA,NA,NA,2.4617100000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0221600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0124900000,NA,NA,NA,10.2966400000,NA,NA,NA,NA,NA,NA,NA,NA,18.8535800000,275.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7962500000,NA,NA,NA,2.4620700000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0240500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0072100000,NA,NA,NA,20.1701400000,NA,NA,NA,NA,NA,NA,NA,NA,17.7513100000,276.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6154800000,NA,NA,NA,2.4625600000
