t,air_temperature,humidity,ambient_CO2,Wind,PARi,,date,
49,10.575,0.906560376,554.6666667,0.41,0,,2024/4/12 1:00,
50,10.33333333,0.919012215,551,0.374166667,0,,2024/4/12 2:00,
51,10.525,0.906958459,537,0.353333333,0,,2024/4/12 3:00,
52,10.36666667,0.91918389,560.3333333,0.3075,0,,2024/4/12 4:00,
53,9.2,0.931202523,594.6666667,0.293333333,11.3,,2024/4/12 5:00,
54,10.15,0.933440904,553,0.246666667,100.8416667,,2024/4/12 6:00,
55,12.91666667,0.867804552,484.3333333,0.429166667,525.7166667,,2024/4/12 7:00,
56,16.43333333,0.694323144,463.8333333,1.600833333,1149.575,,2024/4/12 8:00,
57,17.95,0.612984276,463.5,1.145833333,1479.65,,2024/4/12 9:00,
58,18.99166667,0.565695646,464.6666667,1.186666667,1899.808333,,2024/4/12 10:00,
59,19.66666667,0.56402972,462.1666667,1.290833333,1958.266667,,2024/4/12 11:00,
60,19.79166667,0.572800809,464,1.629166667,1625.491667,,2024/4/12 12:00,
61,19.85,0.553835074,458.3333333,1.725833333,1527.866667,,2024/4/12 13:00,
62,20.2,0.546925566,455.5,1.134166667,1284.183333,,2024/4/12 14:00,
63,21.13333333,0.515302728,458,0.990833333,1065.8,,2024/4/12 15:00,
64,19.43333333,0.559549238,467,2.104166667,715.3583333,,2024/4/12 16:00,
65,17.5,0.616154873,475.3333333,1.535,295.65,,2024/4/12 17:00,
66,15.26666667,0.721715766,493,0.7625,20.225,,2024/4/12 18:00,
67,13.675,0.792710221,513.5,0.466666667,0,,2024/4/12 19:00,
68,12.49166667,0.851286174,535.1666667,0.3475,0,,2024/4/12 20:00,
69,10.66666667,0.899337576,575.8333333,0.330833333,0,,2024/4/12 21:00,
70,10.26666667,0.917923395,558.5,0.4975,0,,2024/4/12 22:00,
71,10.75833333,0.884724369,519.5,0.506666667,0,,2024/4/12 23:00,
72,9.925,0.909276944,568.3333333,0.264166667,0,,2024/4/13 0:00,
73,8.7,0.931760866,619.5,0.441666667,0,,2024/4/13 1:00,
74,8.108333333,0.94441013,574.5,0.393333333,0,,2024/4/13 2:00,
75,8.108333333,0.935185185,561.3333333,0.403333333,0,,2024/4/13 3:00,
76,7.508333333,0.948586118,566.8333333,0.389166667,0,,2024/4/13 4:00,
77,7.7,0.93659851,573.6666667,0.316666667,25.15,,2024/4/13 5:00,
78,9.941666667,0.973480212,507.8333333,0.244166667,181.0333333,,2024/4/13 6:00,
79,13.1,0.925521351,485.6666667,0.32,512.45,,2024/4/13 7:00,
80,17.04166667,0.733527547,481.6666667,0.661666667,1091.758333,,2024/4/13 8:00,
81,18.6,0.678109917,481.1666667,1.201666667,1397.691667,,2024/4/13 9:00,
82,19.43333333,0.638687749,480.1666667,1.73,1812.841667,,2024/4/13 10:00,
83,20.06666667,0.598763238,468.8333333,1.621666667,1680.625,,2024/4/13 11:00,
84,20.09166667,0.589216034,471.3333333,1.545,1122.316667,,2024/4/13 12:00,
85,20.85833333,0.581329178,470.3333333,1.895,1619.275,,2024/4/13 13:00,
86,21.075,0.606010017,473.5,2.41,1555.833333,,2024/4/13 14:00,
87,20.25833333,0.654410217,467.5,2.079166667,1078.75,,2024/4/13 15:00,
88,19.54166667,0.737787883,465.3333333,1.740833333,614.7583333,,2024/4/13 16:00,
89,19.00833333,0.748045837,471.1666667,1.1475,229.3666667,,2024/4/13 17:00,
90,17.06666667,0.799263825,484.1666667,1.4275,26.51666667,,2024/4/13 18:00,
91,15.2,0.844066815,496.3333333,0.83,0,,2024/4/13 19:00,
92,13.125,0.879205736,547.8333333,0.4075,0,,2024/4/13 20:00,
93,12.075,0.906674542,569.1666667,0.435833333,0,,2024/4/13 21:00,
94,12.975,0.917959594,521.1666667,0.419166667,0,,2024/4/13 22:00,
95,14.10833333,0.929577465,511,0.451666667,0,,2024/4/13 23:00,
96,14.65833333,0.922007799,508.8333333,0.389166667,0,,2024/4/14 0:00,
97,14.925,0.897206374,515.1666667,0.431666667,0,,2024/4/14 1:00,
98,15.11666667,0.886937112,509.8333333,0.684166667,0,,2024/4/14 2:00,
99,15.09166667,0.886120304,514.5,0.475,0,,2024/4/14 3:00,
100,14.94166667,0.895128884,534.8333333,0.261666667,0,,2024/4/14 4:00,
101,15.15833333,0.87863843,522.8333333,0.256666667,9.108333333,,2024/4/14 5:00,
102,15.34166667,0.896700143,536.6666667,0.179166667,138.1333333,,2024/4/14 6:00,
103,17.08333333,0.854061457,491,0.49,497.0416667,,2024/4/14 7:00,
104,18.75833333,0.789903032,492.1666667,1.066666667,1210.708333,,2024/4/14 8:00,
105,19.75,0.72276511,485.5,1.2375,1430.25,,2024/4/14 9:00,
106,20.63333333,0.691315681,482.5,1.331666667,1753.591667,,2024/4/14 10:00,
107,20.93333333,0.709920582,474,1.93,1955.525,,2024/4/14 11:00,
108,21.2,0.690707994,472.5,1.949166667,1941.958333,,2024/4/14 12:00,
109,21.45,0.668666841,471.6666667,1.8175,1809.4,,2024/4/14 13:00,
110,21.075,0.657232494,465.1666667,2.246666667,1560.658333,,2024/4/14 14:00,
111,20.925,0.675342189,466.6666667,2.004166667,1170.566667,,2024/4/14 15:00,
112,20.3,0.703802255,466.5,1.8825,718.4583333,,2024/4/14 16:00,
113,18.88333333,0.749885444,474.3333333,1.196666667,264.625,,2024/4/14 17:00,
114,16.76666667,0.806215084,495.8333333,0.888333333,16.60833333,,2024/4/14 18:00,
115,15.25,0.867116033,505.6666667,0.610833333,0,,2024/4/14 19:00,
116,13.775,0.903113088,539,0.426666667,0,,2024/4/14 20:00,
