t,air_temperature,humidity,ambient_CO2,Wind,PARi,,,MJ/m2,W/m2,ppfd(1.89換算)
,26.3,0.55,430,1.7,288.8,,2023/9/26 16:00,0.55,152.8,288.75
,25.3,0.73,430,1.7,183.8,,2023/9/26 17:00,0.35,97.2,183.75
,23.5,0.8,430,1.2,31.5,,2023/9/26 18:00,0.06,16.7,31.5
,23,0.83,430,1.4,0.0,,2023/9/26 19:00,0,0.0,0
,22.3,0.85,430,1.6,0.0,,2023/9/26 20:00,,0.0,0
,20.9,0.94,430,0.8,0.0,,2023/9/26 21:00,,0.0,0
,21.3,0.91,430,1.6,0.0,,2023/9/26 22:00,,0.0,0
,21.7,0.88,430,1.5,0.0,,2023/9/26 23:00,,0.0,0
,20.9,0.95,430,1.2,0.0,,2023/9/27 0:00,,0.0,0
,20.9,0.95,430,0.8,0.0,,2023/9/27 1:00,,0.0,0
,20.8,0.95,430,0.9,0.0,,2023/9/27 2:00,,0.0,0
,20.6,0.96,430,0.4,0.0,,2023/9/27 3:00,,0.0,0
,20.6,0.97,430,1,0.0,,2023/9/27 4:00,,0.0,0
,20.7,0.97,430,0.6,0.0,,2023/9/27 5:00,0,0.0,0
,20.8,0.97,430,0.4,5.3,,2023/9/27 6:00,0.01,2.8,5.25
,22,0.94,430,0.3,73.5,,2023/9/27 7:00,0.14,38.9,73.5
,23.1,0.83,430,0.9,262.5,,2023/9/27 8:00,0.5,138.9,262.5
,24.3,0.8,430,0.5,393.8,,2023/9/27 9:00,0.75,208.3,393.75
,24.9,0.8,430,0.6,472.5,,2023/9/27 10:00,0.9,250.0,472.5
,26.3,0.75,430,1,1029.0,,2023/9/27 11:00,1.96,544.4,1029
,27.2,0.71,430,0.9,703.5,,2023/9/27 12:00,1.34,372.2,703.5
,29,0.59,430,1.8,876.8,,2023/9/27 13:00,1.67,463.9,876.75
,29.2,0.58,430,2.9,1118.3,,2023/9/27 14:00,2.13,591.7,1118.25
,26.6,0.76,430,3.5,887.3,,2023/9/27 15:00,1.69,469.4,887.25
,25.5,0.79,430,2.8,556.5,,2023/9/27 16:00,1.06,294.4,556.5
,24.2,0.83,430,2.5,178.5,,2023/9/27 17:00,0.34,94.4,178.5
,23.6,0.85,430,3.2,10.5,,2023/9/27 18:00,0.02,5.6,10.5
,23.5,0.86,430,1.8,0.0,,2023/9/27 19:00,,0.0,0
,23.1,0.88,430,2.4,0.0,,2023/9/27 20:00,,0.0,0
,23.2,0.88,430,2,0.0,,2023/9/27 21:00,,0.0,0
,23.2,0.88,430,2.3,0.0,,2023/9/27 22:00,,0.0,0
,23.1,0.88,430,2.4,0.0,,2023/9/27 23:00,,0.0,0
,23.1,0.88,430,2.1,0.0,,2023/9/28 0:00,,0.0,0
,22.7,0.9,430,1.9,0.0,,2023/9/28 1:00,,0.0,0
,22.7,0.9,430,1.8,0.0,,2023/9/28 2:00,,0.0,0
,22.1,0.92,430,1.1,0.0,,2023/9/28 3:00,,0.0,0
,22.1,0.92,430,0.8,0.0,,2023/9/28 4:00,,0.0,0
,22.3,0.92,430,1,0.0,,2023/9/28 5:00,0,0.0,0
,22.1,0.93,430,1.4,5.3,,2023/9/28 6:00,0.01,2.8,5.25
,22.9,0.91,430,1.3,110.3,,2023/9/28 7:00,0.21,58.3,110.25
,23.5,0.9,430,0.2,157.5,,2023/9/28 8:00,0.3,83.3,157.5
,24.3,0.86,430,1.4,378.0,,2023/9/28 9:00,0.72,200.0,378
,25.6,0.85,430,1.4,514.5,,2023/9/28 10:00,0.98,272.2,514.5
,27.1,0.74,430,2.5,1013.3,,2023/9/28 11:00,1.93,536.1,1013.25
,28.7,0.71,430,1,1013.3,,2023/9/28 12:00,1.93,536.1,1013.25
,29.2,0.68,430,1.4,1002.8,,2023/9/28 13:00,1.91,530.6,1002.75
,30.5,0.64,430,1.9,1191.8,,2023/9/28 14:00,2.27,630.6,1191.75
,31,0.63,430,1.4,913.5,,2023/9/28 15:00,1.74,483.3,913.5
,30,0.69,430,1.3,567.0,,2023/9/28 16:00,1.08,300.0,567
,27.9,0.78,430,1.4,225.8,,2023/9/28 17:00,0.43,119.4,225.75
,26.2,0.86,430,1.7,21.0,,2023/9/28 18:00,0.04,11.1,21
,26.6,0.84,430,2.1,0.0,,2023/9/28 19:00,,0.0,0
,25.7,0.87,430,1.8,0.0,,2023/9/28 20:00,,0.0,0
,25.8,0.85,430,1.9,0.0,,2023/9/28 21:00,,0.0,0
,25.2,0.89,430,1.8,0.0,,2023/9/28 22:00,,0.0,0
,24.7,0.91,430,1.6,0.0,,2023/9/28 23:00,,0.0,0
,23.4,0.97,430,0.7,0.0,,2023/9/29 0:00,,0.0,0
,23.7,0.97,430,1.3,0.0,,2023/9/29 1:00,,0.0,0
,23.7,0.96,430,0.6,0.0,,2023/9/29 2:00,,0.0,0
,24.8,0.85,430,1.8,0.0,,2023/9/29 3:00,,0.0,0
,23.9,0.79,430,1.7,0.0,,2023/9/29 4:00,,0.0,0
,23.3,0.81,430,1.8,0.0,,2023/9/29 5:00,,0.0,0
,23.3,0.82,430,1.3,10.5,,2023/9/29 6:00,0.02,5.6,10.5
,24.2,0.8,430,1.4,147.0,,2023/9/29 7:00,0.28,77.8,147
,25.7,0.73,430,2.7,430.5,,2023/9/29 8:00,0.82,227.8,430.5
,26.3,0.66,430,3,834.8,,2023/9/29 9:00,1.59,441.7,834.75
,27.5,0.61,430,2.4,908.3,,2023/9/29 10:00,1.73,480.6,908.25
,27.1,0.64,430,2.6,992.3,,2023/9/29 11:00,1.89,525.0,992.25
,27.2,0.65,430,2.7,882.0,,2023/9/29 12:00,1.68,466.7,882
,27.8,0.6,430,2.6,1018.5,,2023/9/29 13:00,1.94,538.9,1018.5
,27.6,0.62,430,3.1,1181.3,,2023/9/29 14:00,2.25,625.0,1181.25
,27.8,0.61,430,2.7,824.3,,2023/9/29 15:00,1.57,436.1,824.25
,26.9,0.61,430,2.4,378.0,,2023/9/29 16:00,0.72,200.0,378
,25.9,0.63,430,3.1,89.3,,2023/9/29 17:00,0.17,47.2,89.25
,25.1,0.66,430,1.9,15.8,,2023/9/29 18:00,0.03,8.3,15.75
,24,0.76,430,1.6,0.0,,2023/9/29 19:00,,0.0,0
,23.5,0.79,430,1.8,0.0,,2023/9/29 20:00,,0.0,0
,23.3,0.84,430,1.9,0.0,,2023/9/29 21:00,,0.0,0
,22.7,0.88,430,1.5,0.0,,2023/9/29 22:00,,0.0,0
,22.8,0.88,430,1.2,0.0,,2023/9/29 23:00,,0.0,0
,23.4,0.83,430,1.6,0.0,,2023/9/30 0:00,,0.0,0
,22.7,0.87,430,2.1,0.0,,2023/9/30 1:00,,0.0,0
,22.9,0.87,430,1.4,0.0,,2023/9/30 2:00,,0.0,0
,22.2,0.9,430,1.8,0.0,,2023/9/30 3:00,,0.0,0
,22.5,0.89,430,1.9,0.0,,2023/9/30 4:00,,0.0,0
,22.3,0.92,430,1.9,0.0,,2023/9/30 5:00,,0.0,0
,22.1,0.89,430,2.1,10.5,,2023/9/30 6:00,0.02,5.6,10.5
,22.7,0.8,430,2,225.8,,2023/9/30 7:00,0.43,119.4,225.75
,24.1,0.75,430,2.8,598.5,,2023/9/30 8:00,1.14,316.7,598.5
,26.3,0.69,430,2.3,939.8,,2023/9/30 9:00,1.79,497.2,939.75
,26.6,0.69,430,2.5,861.0,,2023/9/30 10:00,1.64,455.6,861
,27.1,0.65,430,2.6,1139.3,,2023/9/30 11:00,2.17,602.8,1139.25
,27.5,0.68,430,2.6,609.0,,2023/9/30 12:00,1.16,322.2,609
,26.2,0.71,430,2.4,682.5,,2023/9/30 13:00,1.3,361.1,682.5
,26.1,0.72,430,1.9,467.3,,2023/9/30 14:00,0.89,247.2,467.25
,27,0.7,430,2.1,897.8,,2023/9/30 15:00,1.71,475.0,897.75
,26.6,0.71,430,1.8,540.8,,2023/9/30 16:00,1.03,286.1,540.75
,25.3,0.78,430,2,173.3,,2023/9/30 17:00,0.33,91.7,173.25
,24.5,0.82,430,1.7,10.5,,2023/9/30 18:00,0.02,5.6,10.5
,23.9,0.85,430,1,0.0,,2023/9/30 19:00,,0.0,0
,23.5,0.88,430,2.1,0.0,,2023/9/30 20:00,,0.0,0
,23.3,0.89,430,1.3,0.0,,2023/9/30 21:00,,0.0,0
,23.4,0.91,430,1.5,0.0,,2023/9/30 22:00,,0.0,0
,23.2,0.93,430,1.6,0.0,,2023/9/30 23:00,,0.0,0
,23.2,0.93,430,1.9,0.0,,,,0.0,0
