t,air_temperature,humidity,ambient_CO2,Wind,PARi,,date
69,10.66666667,0.899337576,575.8333333,0.330833333,0,,4/12/2024 21:00
70,10.26666667,0.917923395,558.5,0.4975,0,,4/12/2024 22:00
71,10.75833333,0.884724369,519.5,0.506666667,0,,4/12/2024 23:00
72,9.925,0.909276944,568.3333333,0.264166667,0,,4/13/2024 0:00
73,8.7,0.931760866,619.5,0.441666667,0,,4/13/2024 1:00
74,8.108333333,0.94441013,574.5,0.393333333,0,,4/13/2024 2:00
75,8.108333333,0.935185185,561.3333333,0.403333333,0,,4/13/2024 3:00
76,7.508333333,0.948586118,566.8333333,0.389166667,0,,4/13/2024 4:00
77,7.7,0.93659851,573.6666667,0.316666667,25.15,,4/13/2024 5:00
78,9.941666667,0.973480212,507.8333333,0.244166667,181.0333333,,4/13/2024 6:00
79,13.1,0.925521351,485.6666667,0.32,512.45,,4/13/2024 7:00
80,17.04166667,0.733527547,481.6666667,0.661666667,1091.758333,,4/13/2024 8:00
81,18.6,0.678109917,481.1666667,1.201666667,1397.691667,,4/13/2024 9:00
82,19.43333333,0.638687749,480.1666667,1.73,1812.841667,,4/13/2024 10:00
83,20.06666667,0.598763238,468.8333333,1.621666667,1680.625,,4/13/2024 11:00
84,20.09166667,0.589216034,471.3333333,1.545,1122.316667,,4/13/2024 12:00
85,20.85833333,0.581329178,470.3333333,1.895,1619.275,,4/13/2024 13:00
86,21.075,0.606010017,473.5,2.41,1555.833333,,4/13/2024 14:00
87,20.25833333,0.654410217,467.5,2.079166667,1078.75,,4/13/2024 15:00
88,19.54166667,0.737787883,465.3333333,1.740833333,614.7583333,,4/13/2024 16:00
89,19.00833333,0.748045837,471.1666667,1.1475,229.3666667,,4/13/2024 17:00
90,17.06666667,0.799263825,484.1666667,1.4275,26.51666667,,4/13/2024 18:00
91,15.2,0.844066815,496.3333333,0.83,0,,4/13/2024 19:00
92,13.125,0.879205736,547.8333333,0.4075,0,,4/13/2024 20:00
93,12.075,0.906674542,569.1666667,0.435833333,0,,4/13/2024 21:00
94,12.975,0.917959594,521.1666667,0.419166667,0,,4/13/2024 22:00
95,14.10833333,0.929577465,511,0.451666667,0,,4/13/2024 23:00
96,14.65833333,0.922007799,508.8333333,0.389166667,0,,4/14/2024 0:00
97,14.925,0.897206374,515.1666667,0.431666667,0,,4/14/2024 1:00
98,15.11666667,0.886937112,509.8333333,0.684166667,0,,4/14/2024 2:00
99,15.09166667,0.886120304,514.5,0.475,0,,4/14/2024 3:00
100,14.94166667,0.895128884,534.8333333,0.261666667,0,,4/14/2024 4:00
101,15.15833333,0.87863843,522.8333333,0.256666667,9.108333333,,4/14/2024 5:00
102,15.34166667,0.896700143,536.6666667,0.179166667,138.1333333,,4/14/2024 6:00
103,17.08333333,0.854061457,491,0.49,497.0416667,,4/14/2024 7:00
104,18.75833333,0.789903032,492.1666667,1.066666667,1210.708333,,4/14/2024 8:00
105,19.75,0.72276511,485.5,1.2375,1430.25,,4/14/2024 9:00
106,20.63333333,0.691315681,482.5,1.331666667,1753.591667,,4/14/2024 10:00
107,20.93333333,0.709920582,474,1.93,1955.525,,4/14/2024 11:00
108,21.2,0.690707994,472.5,1.949166667,1941.958333,,4/14/2024 12:00
109,21.45,0.668666841,471.6666667,1.8175,1809.4,,4/14/2024 13:00
110,21.075,0.657232494,465.1666667,2.246666667,1560.658333,,4/14/2024 14:00
111,20.925,0.675342189,466.6666667,2.004166667,1170.566667,,4/14/2024 15:00
112,20.3,0.703802255,466.5,1.8825,718.4583333,,4/14/2024 16:00
113,18.88333333,0.749885444,474.3333333,1.196666667,264.625,,4/14/2024 17:00
114,16.76666667,0.806215084,495.8333333,0.888333333,16.60833333,,4/14/2024 18:00
115,15.25,0.867116033,505.6666667,0.610833333,0,,4/14/2024 19:00
116,13.775,0.903113088,539,0.426666667,0,,4/14/2024 20:00
117,13.16666667,0.921771706,536,0.305833333,0,,4/14/2024 21:00
118,12.54166667,0.92939961,561.5,0.454166667,0,,4/14/2024 22:00
119,13.24166667,0.936965578,517.8333333,0.600833333,0,,4/14/2024 23:00
120,12.13333333,0.952358546,563.1666667,0.355833333,0,,4/15/2024 0:00
121,11.60833333,0.93724869,575.1666667,0.345833333,0,,4/15/2024 1:00
122,11.44166667,0.948218469,545.8333333,0.371666667,0,,4/15/2024 2:00
123,11.43333333,0.946329426,543.6666667,0.291666667,0,,4/15/2024 3:00
124,12.61666667,0.937178755,511,0.565833333,0,,4/15/2024 4:00
125,12.99166667,0.954292085,511.6666667,0.379166667,26.475,,4/15/2024 5:00
126,14.125,0.968459152,501.6666667,0.584166667,173.4583333,,4/15/2024 6:00
127,16.15,0.940984202,490.1666667,0.621666667,655.4666667,,4/15/2024 7:00
128,17.61666667,0.831013917,490.8333333,1.128333333,865.1,,4/15/2024 8:00
129,18.68333333,0.75751472,481.6666667,1.21,1222.758333,,4/15/2024 9:00
130,19.6,0.71211457,467.1666667,1.904166667,1603.35,,4/15/2024 10:00
131,20,0.69344835,464,2.17,1458.425,,4/15/2024 11:00
132,20.05,0.729498861,466.6666667,2.264166667,1460.208333,,4/15/2024 12:00
133,20.03333333,0.736748488,465.6666667,2.7725,1325,,4/15/2024 13:00
134,19.575,0.740041008,469.6666667,2.785,948.9416667,,4/15/2024 14:00
135,18.975,0.778942571,471.6666667,2.4375,579.1916667,,4/15/2024 15:00
136,18.95,0.775165487,479,2.269166667,404.4833333,,4/15/2024 16:00
137,17.94166667,0.798978682,480.8333333,2.206666667,138.1833333,,4/15/2024 17:00
138,16.975,0.794431994,490.3333333,1.231666667,18.28333333,,4/15/2024 18:00
139,15.80833333,0.827650283,496.5,0.919166667,0,,4/15/2024 19:00
140,15.525,0.861518102,499.6666667,0.933333333,0,,4/15/2024 20:00
141,15.35833333,0.88144182,502.1666667,0.7125,0,,4/15/2024 21:00
142,15.25833333,0.895703163,502.1666667,0.895,0,,4/15/2024 22:00
143,15.33333333,0.89999043,499.3333333,1.0075,0,,4/15/2024 23:00
144,15.56666667,0.870283019,492.5,1.055,0,,4/16/2024 0:00
145,15.8,0.867870103,489.5,1.204166667,0,,4/16/2024 1:00
146,15.95,0.865586448,486.6666667,1.375833333,0,,4/16/2024 2:00
147,15.95,0.852182722,487.8333333,1.423333333,0,,4/16/2024 3:00
148,15.69166667,0.857196367,493.8333333,0.8675,0,,4/16/2024 4:00
149,15.63333333,0.8684705,497.6666667,0.95,9.466666667,,4/16/2024 5:00
150,15.81666667,0.886384715,496.5,1.105,51.875,,4/16/2024 6:00
151,16.21666667,0.885952209,494.8333333,1.2,156.9666667,,4/16/2024 7:00
152,15.86666667,0.910813309,499.1666667,1.098333333,118.2916667,,4/16/2024 8:00
153,16.45,0.926890157,486.8333333,1.5,347.9583333,,4/16/2024 9:00
154,17.53333333,0.885664394,475.6666667,2.054166667,399.7333333,,4/16/2024 10:00
155,17.44166667,0.853027385,477.6666667,2.453333333,243.4833333,,4/16/2024 11:00
156,17.80833333,0.858567691,476.5,2.806666667,499.3,,4/16/2024 12:00
157,18.5,0.799859,472.1666667,2.4475,395.0416667,,4/16/2024 13:00
158,18.15,0.790299344,474.8333333,2.315,287.725,,4/16/2024 14:00
159,17.90833333,0.822735404,474.6666667,2.055833333,234.1,,4/16/2024 15:00
160,17.51666667,0.836988243,482.6666667,1.76,99.975,,4/16/2024 16:00
161,17.18333333,0.856632349,488.1666667,1.805833333,56.61666667,,4/16/2024 17:00
162,16.79166667,0.865689866,492.3333333,1.4275,9.966666667,,4/16/2024 18:00
163,16.54166667,0.860877271,493.1666667,1.3375,0,,4/16/2024 19:00
